id,year,quarter,section,sent_id_in_report,text,label
1234,2002,1,S1,3,货币政策达到预期调控目标，金融整体运行平稳。,0
1568,2002,3,S1,96,农业银行在系统内推广对民营和中 小企业贷款管理的“五要素”法，即：重点审查企业法人及股东的品行、企业自 有资金比例、贷款归行率、日均存款余额、销售纳税额，客观、真实地评价和把 握企业的经营状况，使信贷服务更加切合中小企业的实际需要。,0
2804,2003,3,S1,52,同时，存款准备金率上调一个百分点，也相应增加了一部分基础 货币。,0
48012,2022,2,S1,74,表6 2022年上半年人民币存款结构情况 单位：亿元 6月末余额 同比增速 当年新增额 同比多增额 人民币各项存款 2510547 10.8% 188182 47729 住户存款 1128280 12.8% 103265 28800 非金融企业存款 748704 9.8% 53018 30471 机关团体存款 328338 5.8% 16985 6226 7 6月末余额 同比增速 当年新增额 同比多增额 财政性存款 55660 2.8% 5061 -4338 非银行业金融机构存款 233891 13.9% 9513 -12349 境外存款 15674 9.3% 341 -1082 数据来源：中国人民银行。,0
1441,2002,1,S5,210,全年国内生产总值增长有望达到 7%以上。,0
13204,2008,2,S1,96,单笔金额在3000万元以 上的人民币协议存款利率总体呈下降趋势。,0
431,2001,3,S2,105,今年1-9月份银行间市场拆借和回购利率呈逐月 下降趋势，表明市场资金供给宽裕。,0
17732,2010,2,S1,54,但是，随着信贷投放的快速增长，银行风 险资产规模不断扩大，资本充足率下降。,0
51457,2023,4,S4,561,证券投资逐步恢复净流入，四季度境外投资者净增持境内 债券超过 620 亿美元。,0
28089,2014,2,S5,595,加快发 展外汇市场，坚持金融服务实体经济的原则，为基于实需原则的进出 口企业提供汇率风险管理服务。,0
36650,2017,4,S4,576,2017 年，进口价格同比上涨 9.6%，涨幅比上 年高12.6个百分点，其中各季度分别上涨13.4%、11.8%、7.4%和5.8%； 出口价格同比上涨 4.0%，涨幅比上年高 6.2 个百分点，其中各季度 52 分别上涨 5.1%、5.8%、3.2%和 1.9%。,0
50933,2023,4,S1,37,还比如，先进制造、 科技创新、绿色低碳、数字经济等新兴产业蓬勃发展，这些新动能领域与直接融 资的金融支持模式更为适配，也会对贷款形成良性替代。,0
41773,2019,4,S4,396,负利率可能带来一系列问题，包括催生资 产价格泡沫，助长债务规模攀升，导致银行存贷利差缩窄，降低银行 利润率等。,1
44515,2021,1,S1,82,根据国际清算银行测算，2020 年末至 2021 年 3 月，人民币名义和实际有效汇率分别升值 2.15%和 2.10%；2005 年 人民币汇率形成机制改革以来至 2021 年 3 月末，人民币名义和实际 有效汇率分别升值 40.63%和 54.55%。,0
41203,2019,2,S4,485,同时深化金融供给侧 结构性改革，提高金融服务实体经济的能力。,0
21470,2012,1,S2,168,农户 贷款余额 2.5 万元，比上年末增加 1293 亿元。,0
