period,year,quarter,gdp_yoy,cpi_yoy,m2_yoy,ip_yoy,export_yoy,short_rate_level,short_rate_chg_q
2001Q1,2001,1,9.5,0.6666666666666666,14.83,11.133333333333333,16.03333333333333,2.506009836065574,
2001Q2,2001,2,8.6,1.5666666666666667,14.3,10.6,7.933333333333334,2.3920274193548385,-0.11398241671073528
2001Q3,2001,3,8.0,0.7999999999999999,13.6,8.566666666666666,5.1000000000000005,2.2908,-0.10122741935483859
2001Q4,2001,4,7.5,-0.13333333333333333,14.4,8.466666666666667,3.4666666666666663,2.1548587301587303,-0.13594126984126964
2002Q1,2002,1,9.0,-0.6,14.4,10.733333333333334,8.566666666666666,2.064975,-0.0898837301587303
2002Q2,2002,2,8.9,-1.0666666666666667,14.7,12.466666666666667,16.533333333333335,1.9508483870967743,-0.11412661290322568
2002Q3,2002,3,9.7,-0.7666666666666666,16.5,13.1,29.03333333333333,2.0171838235294115,0.06633543643263717
2002Q4,2002,4,9.2,-0.6333333333333333,16.78,14.533333333333333,31.76,2.2566721311475413,0.23948830761812978
2003Q1,2003,1,11.2,0.5,18.54,17.166666666666668,42.26666666666667,2.1977796875,-0.05889244364754109
2003Q2,2003,2,9.2,0.6666666666666666,20.83,15.166666666666666,36.300000000000004,2.0377129032258066,-0.16006678427419363
2003Q3,2003,3,10.1,0.8333333333333334,20.67,16.633333333333336,31.833333333333332,2.42044,0.3827270967741936
2003Q4,2003,4,10.1,2.6666666666666665,19.6,17.733333333333334,39.5,2.6487786885245903,0.22833868852459016
2004Q1,2004,1,10.6,2.766666666666667,19.1,16.599999999999998,39.4,2.2040016393442623,-0.444777049180328
2004Q2,2004,2,11.6,4.3999999999999995,16.2,17.599999999999998,40.03333333333333,2.21834126984127,0.014339630497007594
2004Q3,2004,3,9.8,5.266666666666667,13.94,15.833333333333334,32.733333333333334,2.2612196969696967,0.04287842712842682
2004Q4,2004,4,8.8,3.1666666666666665,14.6,14.966666666666667,33.36666666666667,2.0398111111111112,-0.22140858585858547
2005Q1,2005,1,11.2,2.8333333333333335,14.0,14.533333333333331,23.133333333333336,1.8675333333333335,-0.17227777777777775
2005Q2,2005,2,11.1,1.7333333333333334,15.67,16.46666666666667,23.233333333333334,1.1932887096774194,-0.6742446236559141
2005Q3,2005,3,10.9,1.3333333333333333,17.92,16.2,24.666666666666668,1.2045045454545453,0.011215835777125926
2005Q4,2005,4,12.4,1.3666666666666665,17.57,16.400000000000002,22.166666666666668,1.2887111111111111,0.08420656565656581
2006Q1,2006,1,12.4,1.2,18.8,16.833333333333332,25.8,1.5173333333333334,0.22862222222222228
2006Q2,2006,2,13.6,1.3666666666666665,18.43,18.0,21.566666666666666,1.7668774193548389,0.24954408602150546
2006Q3,2006,3,12.2,1.2666666666666666,16.83,16.166666666666668,25.633333333333336,2.296362121212121,0.5294847018572821
2006Q4,2006,4,12.5,2.033333333333333,16.94,14.766666666666666,22.866666666666664,2.571650793650794,0.27528867243867294
2007Q1,2007,1,13.6,2.733333333333333,17.3,18.303333333333335,24.66,2.0094118644067795,-0.5622389292440144
2007Q2,2007,2,14.9,3.6,17.06,18.3,23.363333333333333,2.7284983870967743,0.7190865226899947
2007Q3,2007,3,14.2,6.1000000000000005,18.45,18.133333333333333,23.926666666666666,3.05074776119403,0.3222493740972556
2007Q4,2007,4,13.9,6.633333333333333,16.72,17.53333333333333,23.51,3.1464453125,0.09569755130597013
2008Q1,2008,1,11.6,8.033333333333333,16.29,16.2,24.496666666666666,2.846303278688525,-0.3001420338114751
2008Q2,2008,2,11.0,7.766666666666667,17.37,15.9,27.05,3.264884375,0.4185810963114749
2008Q3,2008,3,9.5,5.266666666666667,15.29,12.966666666666667,24.459999999999997,3.168481818181818,-0.09640255681818166
2008Q4,2008,4,7.1,2.533333333333333,17.82,6.433333333333334,-0.9400000000000001,2.3866539682539685,-0.7818278499278497
2009Q1,2009,1,6.4,-0.6,25.51,5.456666666666667,-24.98,0.9481466666666667,-1.4385073015873018
2009Q2,2009,2,8.2,-1.5333333333333332,28.46,8.966666666666667,-22.03,0.9658129032258065,0.017666236559139792
2009Q3,2009,3,10.6,-1.2666666666666666,29.31,12.333333333333334,-16.59,1.522955223880597,0.5571423206547905
2009Q4,2009,4,11.9,0.6666666666666666,27.68,17.933333333333334,10.626666666666665,1.4735967213114753,-0.049358502569121665
2010Q1,2010,1,12.2,2.1999999999999997,22.5,20.033333333333335,44.25,1.6394216666666668,0.16582494535519143
2010Q2,2010,2,10.7,2.9333333333333336,18.46,16.0,42.29666666666667,2.0639285714285713,0.42450690476190456
2010Q3,2010,3,9.9,3.466666666666667,18.96,13.533333333333333,30.123333333333335,2.090627272727273,0.026698701298701444
2010Q4,2010,4,9.9,4.7,19.72,13.299999999999999,27.37,2.7429516129032256,0.6523243401759529
