text,label
第三产业占比较上年提高2.4个百分点，高于第二产业10.0 个百分点。,0
稳妥推进债券市场对外开放，提高境外机构在境内债券市场发 行和交易的便利性。,0
人民币对欧元、日元等其他国际主要货币汇率双向 波动。,1
二是提高价格透明度。,0
新兴经济体货币政策分化。,0
改制银行的服务水平和效益不断提高，资本充足率、 资产质量和盈利能力等财务指标显著改进。,0
同比增速为可比口径数据，为年增速。,0
（六）需关注内外部不确定不稳定因素带来的压力 外部不确定性可能对出口产生滞后影响。,1
（二）主要经济体开启新一轮宽松货币政策 全球央行大规模降息潮。,0
南 非经济仍较低迷，一季度 GDP 同比仅增长 0.8%，通胀水平有所上升， 失业率居高不下。,1
相反，影响价格下行 99.5 99 98.5 的因素还比较多，市场供过于求的状况没有根 本改变，食品、衣着类商品价格继续低位运行。,1
“非 典”期间，部分企业出口订单减少，有些流失的订单已经无法弥补。,1
因此，物价低 迷的状况短期内难以扭转，价格上升的压力在未来几个月会继续减弱。,1
一是完善货币供应调控机制。,0
第二，改善市场条件，提高二级市场流动性。,0
服务业持续增长，现代服务业发展良好。,0
总体看，改革完善 LPR形成机制已取得 阶段性成效。,0
一是加剧了煤电油运供求矛盾。,1
未来，虽然主要经济体重新陷入 衰退的可能性不大，但是金融领域风险尚未完全消除，全球经济复苏 之路难以一帆风顺，国际资本跨境流动可能出现较大波动。,1
农村信用社改革取得重要成果，农村信用社可持续发展能力显著 增强，农村金融服务水平明显提升，产权制度改革稳步推进。,0
实施降准提供长期流动性。,0
继续完善多层次资本市场体系，积极发展债券市场，着力完善股票 市场，推动发展期货市场和金融衍生品市场。,0
二是加大金融支持经济发展方式转变和经济结构调整的力度。,0
尽管主权信用风险降 低，但欧元区仍面临德法等国家经济增长放缓、实体部门信贷需求疲 弱、银行业去杠杆化等诸多长期性、结构性问题。,1
在我国，很多企业在生产经营活动中不太考虑外部不 经济，也不对自身制造的污染付成本，因此往往低估生产成本而进行过度投资。,1
美国经济增长稳固，通货紧缩压力降低。,1
三是产权制度改革进展 顺利。,0
二是强化保险公司资 产负债匹配管理。,1
平稳有序推 动重点区域、重点机构和重点领域风险处置和改革化险工作，稳妥有 序做好存量风险处置项目收尾。,1
二是美联储降息效应将逐步显现，货币政策操作还有空间。,0
长期来看，在商业银行的经营中，不断增加的居民储蓄存款的还本 付息对商业银行财务状况是“硬约束”，银行资产中却有相当大的一块是不良资 产，加大了商业银行财务风险。,1
货币总量增长从上年高位总体回落。,1
另一方面，支付便利化工 作持续推进。,0
本轮国际金融危机前相对主 流的观点认为货币政策不应关注资产价格，除非资产价格变动会影响到通胀预 期，央行只是在泡沫破灭后履行最后贷款人职责，维护市场稳定，即所谓的事后 清理（mop up after）。,1
有序推动重点风险项目和重点 领域风险化解，稳妥化解中小金融机构风险。,1
5 月 6 日，国务院常务会议决 31 定商业健康保险享受个人所得税税收优惠，用政府与市场的合力更好 托举民生。,0
（三）票据融资企稳回升，票据市场利率有所上行 票据融资余额企稳回升，票据市场交易活跃。,0
推动人民币对其他货币 直接交易市场发展，更好地为人民币的跨境使用服务。,0
同时，进 一步强化系统性金融风险防范，加强宏观审慎性监管。,1
创设新工具，平滑流动性季节性波动。,1
上半年，全国服务业生产指数同比下降 6.1%， 降幅比第一季度收窄 5.6 个百分点；其中，6 月增长 2.3%，比 5 月加 快 1.3 个百分点。,1
第一季度，国债各期限品种收益率整 体下行。,1
"二级市场价格指数屡创新高,市 场规模不断扩大。",0
此外， 36 受国际油价持续下跌等影响，日本物价水平再次面临较大下行压力， 实现通胀目标的难度加大。,1
地缘政治冲突多点爆发，风险因素加速累积。,1
2、生产价格（PPI）同比涨幅有所反弹，原材料、燃料、动力购 进价格上涨幅度仍高于工业品出厂价格。,0
房地产开发投资增速持续回落。,0
但在经济结构转型、内外部不确定不稳定因素增加的背景下，部分 民营企业经营风险上升，融资难问题加剧。,1
目前，扶贫再贷款政策实施进展顺利，引导提高金融助推脱 贫攻坚取得初步成效。,0
（七）行业分析 工业企业利润增速转正。,0
农村老龄化、 空心化拉低农村劳动力教育水平，加之农业基础设施和物质装备水平 较低，农业自主研发能力不强，制约农业科技成果的应用和推广。,1
（一）主要经济体经济形势 主要发达经济体增长有所放缓，经济运行出现分化。,1
进口价格降幅继续加深。,1
三是金融产品和服务进一步优化。,0
同时，银行卡存款不计入 M1，也相应拉低了货 币流动性比例。,1
国有商业银行改革取得明显成效。,0
综合运用降准、公开市场操作和中期借贷便利 （MLF）向市场投放流动性。,0
伦敦同业拆借市场美元 Libor 小幅上升，欧元区同业拆借利率 Euribor 继续走低。,1
三是进一步推进利率市场化和人民币汇率形成机制改革，提高金 融资源配置效率，完善金融调控机制。,0
银行间债券市场指数小幅下行。,1
严格控制高耗能高排放项目信贷规模，推动“两高”项目绿色转 型升级。,1
应避免政策效应的漏损，或以邻为壑政策对其他经济体的损害。,1
大力培 育和发展机构投资者，调动市场主体的积极性和创造性，鼓励金融产 品与金融工具创新，发展金融衍生产品，满足市场多样化需求。,0
进一步规范商业银行代理保险业务。,0
引导企业树立“风险中性”的财务理念，通过 外汇衍生品管理汇率风险。,1
（一）主要经济体经济和金融市场概况 经济增长动能放缓。,1
消费较快增长，投资增速高位回稳，对外贸易快 速恢复，消费、投资、出口拉动经济增长的协调性增强，工业增长总 体较快，企业效益大幅提高，居民消费价格温和上涨。,0
密切关注重点领域风险，继续按 照“稳定大局、统筹协调、分类施策、精准拆弹”的方针，压降存量 57 风险、严控增量风险，加强金融、地方债务风险防控。,1
随着中国经济发展进入新常态， 进一步推动信贷资产证券化市场健康持续发展，有利于盘活存量资金、释放信贷 资源、优化信贷结构、提高资金使用效率，对于促进多层次资本市场发展、推动 商业银行转型、优化金融资源配置、加大金融对实体经济支持具有积极意义。,0
加强对金融机构的风险提示，加强地方政府融资平台公司贷款风 险管理。,1
此次试点有助于更好满足境内外投资者投资 债券指数型产品的需求，有助于促进债券市场长远健康发展。,0
"2005年前三季度，金融市场健康平稳，货币市场流动性充足， 市场利率止跌企稳,债券发行情况良好，债券品种进一步丰富，金融 市场制度性建设取得重大进展。",0
大力发展普惠金融，着力支持贫困地区经济社会持续健 康发展和贫困人口脱贫致富。,0
生产价格降幅收窄。,1
银 行间市场国债收益率曲线整体下移。,1
农村信用社改革进展顺利，成效显著。,0
5 月 17 日，葡萄牙继爱尔兰之后退出“三驾马车”的国际援助。,1
统一同类产品的杠杆率，合理控制股票市场、债券市场杠 杆水平，抑制资产泡沫。,1
7 月 12 日，美国宣 布对伊朗采取新的经济制裁措施，伊朗石油产量降至历史低点。,1
二是支农资金实力明显增强，支农信贷投放快速增长。,0
钢铁消费快速增长是国民经济发展的客观要求，但随着经济 发展水平的提高、经济结构不断改善、产业结构优化以及基础设施的逐步完备， 单位 GDP的钢材消耗量必然会迅速下降，钢材需求量将逐渐进入一个稳定的阶 段。,0
总体看，目前尚不具备价格持续回升的市场条件。,0
"加大金融精准扶贫工作力度,聚焦深度贫困地区金融服务。",0
但未来各主要经济体货币政策还存在很多的不确定性。,1
总体来看价格上行压力相对更大，价格稳定的潜在威胁有所增加。,1
但是，美联储退出量化宽松货币政策的短期冲击，尤其是对 新兴市场经济体和发展中国家的冲击不容忽视。,1
2007年以来，全球经济继续平稳增长，通胀压力有所减缓。,1
发达经济体国债收益率总体维 持低位且波动加剧。,1
此外，坚持点面结合，立足于风险早发现、 早处置，持续推动处置高风险农村中小银行机构，快速平息零星发生的银行网点 挤兑事件。,1
将存款准备金交存基数进行平均计算， 可以有效平滑金融机构存款波动。,1
继续做好风险差别费率实施工作，开展存款 保险评级和费率核定，发挥差别费率的风险约束和正向激励作用。,1
专栏 6：工业企业效益分析 2005 年上半年，规模以上工业企业实现利润同比增长 19.1%，比上年同期 回落 22.5 个百分点，与此同时亏损企业亏损额上升较快。,1
30 美欧通胀见顶回落，但仍处高位。,1
高收益对应着高风险，在打 破刚性兑付的环境下，长期看资管产品无法同时兼具“低风险”和“高回报”， 追求高收益的同时要承担高风险。,1
物价将保持温和回升态势。,0
欧盟建立了欧洲系统 性风险委员会，负责监测和评估系统性风险，实施宏观审慎管理。,1
健全系统性金融风险的防范预警和评估体系，继续加强对地方融 资平台债务、各类影子银行业务、企业互保联保等风险领域的监测分 析，动态排查风险隐患，督促金融机构及有关方面做好各种情景下的 应对预案。,1
建设现代中央银行制 度要求健全现代货币政策框架，支持经济高质量发展，加快构建新发展格局。,0
一是提升供给侧结构性改革和制造业 高质量发展金融服务。,0
但消费领域的部分指 标稍显脆弱。,1
如果通胀水平长期较低，有可能降低市场通胀预期，增加央行货 币政策影响的不确定性。,1
进口价格继续上涨，涨幅高于出口价格。,0
11 月，印发《养老保险公司监督管理暂行办法》，对养老保险公司机构 管理、公司治理、风险管理等多个方面提出具体要求，弥补养老保险 公司缺乏专门监管规定的制度短板。,1
货币市场利率逐渐回升。,0
继续完善做市商制度，提高债券市场流动性，为培育有 效的收益率曲线夯实基础。,0
收入分配结构持续改善，农村 居民收入增速高于城镇1个百分点。,0
坚持市场化、法治化原则，完善债券违约风险防范和处 置机制。,1
美国经济增势强劲。,0
（五）保险市场需求明显增加，保险总资产增长减缓 保险需求明显增加。,1
当前，我国国民经济增长较快， 效益较好，活力较强，结构调整取得积极进展，各项改革有序推进。,0
影响套利交易的因素主要有利率、汇率和风险 偏好等。,1
外币贷款增速有所回升。,0
（五）就业基本稳定 城镇新增就业持续增长，居民就业感受指数持续回升。,0
"24 （六）外汇市场交易活跃 人民币外汇即期市场平稳发展,掉期和远期交易规模快速扩张。",0
股票市场成交量保持活跃。,0
美德国债收益率小幅上涨，部分新兴市场经济体国债收益率攀 升。,0
上半年，保险业累计赔款、给付 477 亿元，同比增 长 25.5%，增幅比上年同期高 15.3 个百分点，发挥了灾害事故“减 震器”的作用。,1
Shibor总体有所上行。,0
限制对高耗能、高排放和 产能过剩行业劣质企业的贷款。,1
比如说，盘活低效占用的金融资源，虽然不体现为贷款增量，但使用 金融资源的主体效率提高，能为经济高质量发展注入新动力。,0
意大利和西班牙再度受到冲击。,1
受金融危机影响，全球主要股市 年初以来震荡下跌，9月后，随着金融危机加剧，主要股市加速下行。,1
三是进一步推进利率市场化和人民币汇率形成机制改革，提高金 融体系配置效率，完善金融调控机制。,0
大部分新兴经济体保持较强的增长动力。,0
"稳步推动债券市 56 场双向开放,完善相关政策制度安排,推动市场基础设施跨境合作，给 境外发行人和投资人创造更加友好、便利的制度环境。",0
各方面对未来经济平稳较快增长的信心 进一步提升。,0
2017 年，中国经济稳中向好、好于预期，经济活力、动力和潜 力不断释放，稳定性、协调性和可持续性明显增强，实现了平稳健康 发展。,0
货币条件总体相对宽松，有利于支持国民经济平稳较快发展。,0
农村信用社改革取得重要进展和阶段性成果。,0
第二，养老机构服务质量仍存在安全隐患突出、 硬件设施条件差距较大、管理规范化水平良莠不齐、养老服务队伍建 设亟待加强等问题，不利于养老服务业良性发展。,1
图 5 银行间市场国债收益率曲线变化情况 上半年国债收益率整体下行。,1
包括：金融机 构资本充足率，金融机构不良贷款比率，金融机构内控机制状况、发生重大违规 及风险情况，金融机构支付能力明显恶化及发生可能危害支付系统安全的风险情 况。,1
2015 年，在国际大宗商品价格下跌、国内经济下行压力较大、 结构调整和转型升级加快的背景下，钢铁行业总体仍处于转型阵痛 期，产业过剩问题依然突出，产品价格继续下跌，行业亏损面有所扩 大。,1
有 序推进中小金融机构风险处置和改革重组，重点高风险集团风险处置 工作取得阶段性进展。,1
货币政策对结构调整的支持力度加大，普惠小微贷款快速增长。,0
日本央行为了刺激经济复苏实行了长达5年的超宽松货币政策。,0
对此要增强机遇意识和风险意识，将改革和调控、 短期和长期、内部均衡和外部均衡结合起来，集中精力办好自己的事， 努力实现高质量发展。,0
适时开展中期借贷便利操作。,0
5 月 9 日，国务院印发 《关于进一步促进资本市场健康发展的若干意见》（国发〔2014〕17 26 号），从发展多层次股票市场、规范发展债券市场、培育私募市场、 推进期货市场建设、提高证券期货服务业竞争力、扩大资本市场开放、 防范和化解金融风险及营造资本市场良好发展环境等方面指明了资 本市场下一步发展的方向，有利于加快完善现代市场体系、拓宽企业 和居民投融资渠道、优化资源配置和促进经济转型升级。,0
今年以来，交通运输行业延续转好复苏，货运市场表现活跃、 客运快速回暖。,0
统筹好对绿色 发展和传统能源转型的金融支持，持续推动绿色债券市场高质量发 展。,0
改善农村金融生态， 健全农村信用体系；建立信贷登记、支付结算等比较完善的农村金融基础服务体 系；根据农村金融机构的特点，加强和改进金融监管。,0
继续深化大 型商业银行改革，推动其不断完善公司治理，逐步健全现代金融企业 制度，深化内部治理和风险管理，提高创新发展能力和国际竞争力。,0
增量政策力度大、针对性强，随着政策效果逐步显现，四 季度经济有望延续企稳回升态势。,0
从国内看，经济大循环也存在堵点，消费者信心指数和民间投资增速 仍处低位，需求不足与产能过剩的矛盾较为突出；制造业 PMI 连续 4 个月位于收缩区间，社会预期依然偏弱。,1
对以诈骗 敛财为目的非法集资、转贷谋利、洗钱和暴力催收导致的人身伤害等违法犯罪行 为，公安司法机关应该介入，严厉打击。,1
日本经 济增长放缓，一季度 GDP 环比折年率萎缩 0.6%，为 2015 年四季度以 来经济首次萎缩。,1
增强公开市场操作利率弹性。,0
居民消费价格涨幅继续扩大。,0
部分重要商品国内外差价较大， 资源能源价格扭曲矛盾仍在继续累积。,1
创新运 用可持续发展挂钩债券、碳中和债券等产品，发挥金融对能源安全保 供和绿色低碳转型的支持作用。,0
宏观杠杆率因疫情应对出现阶段性上升，不良贷款 上升等信用风险可能滞后显现，区域性金融风险隐患仍然存在。,1
该图绘出了未来预测值90％落在扇形阴影部 分的概率分布。,1
人民币兑欧元、日元等其他国际主要货币汇率多数贬值。,1
原材料价格高位波动，加之环保投入增加，钢铁企业 整体利润空间受到挤压。,1
欧洲房地产市场不容乐观。,1
总体看，造成目前部分行业利润减少或亏损的原因是多方面的，其中价格 扭曲是一个重要因素。,1
通过引入国际开发机构这种全新的发债主体，推 进国内债券市场开放，有利于促进国内债券市场进一步发展。,0
由于上半年欧元区通货膨胀率逐步回落，下半年欧央行升息压力会 有所减弱。,1
国债收益率下行，期限利差缩窄。,1
股票融资大幅增加。,0
通货膨胀压力依然较大。,1
活期存款的上升说明货币的流动性增强，经济 的活跃程度提高。,0
作为全球失衡的核心，美国巨额贸易赤字则对应着其总体储蓄的空前萎缩。,1
一是更加聚焦 自主创新能力。,0
投资、消费和净出口需求旺盛；夏粮喜获丰收，工业结构调整步伐加 快，煤电运支撑条件改善；居民、企业和财政收入继续提高，人民生 活进一步改善；各类价格基本稳定。,0
商业健康保险税收优惠政策正式出台，用 政府和市场的合力更好托举民生。,0
加大对有市场发展前景的先进制造业、战略性新兴 产业、现代信息技术产业和信息消费、文化产业、服务业、传统产业 改造升级以及绿色环保等领域的资金支持力度。,0
一是制造业贷款比重触底回升。,0
房地产信贷增幅继续回落。,1
日本经济复苏。,0
三是增强公开市场操作 利率弹性。,0
在疫情防控常态化条件下，统筹疫情防控与 防范化解金融风险关系，强化跨境资金流动风险监测与分析，突出打 击地下钱庄、跨境赌博和网络炒汇等非法金融活动，切实维护外汇市 场秩序，防范化解跨境风险，为“六稳”“六保”工作保驾护航。,1
健全证券期货业监管规则。,0
如果欧盟国家不能及时落实已达成的共识以取信于市场，将 加剧已存在的主权债务危机、银行危机和经济下滑的恶性循环。,1
适时调整外汇风险准备金率。,1
土地交易价格快速上涨，第三季度为 15%，比第一、二季度 分别提高 5.2 和 1.5 个百分点。,0
29 外汇市场交易主体进一步扩展。,0
三是“低增长、低通胀、低利率”环境对货币政策调控构成挑战， 利率政策应对空间有限，继续实施量化宽松等非常规货币政策的边际 效果可能也较为有限。,1
压实金融监管部门的监管责任，切实履行本行业本领域金融风险防控职 责，严密防范、早期纠正并及时处置风险。,1
快速增长的货币信贷与相对缓慢的实体经 济存在反差，有一定合理性，但也要防止经济波动加大的风险和不良贷款反弹风 险。,1
而希腊、葡萄牙等重债国形势持续恶化，第三季度 GDP 同比分别萎缩 5.2%和 1.7%。,1
强化风险处置资源 保障，研究扩大风险处置基金积累，更好支持高风险机构风险化解。,1
发展消费信贷，支持扩大内需。,0
第三季度我国经济保持恢复态势，发展韧性持续显现，GDP 同 比增长 4.9%，两年平均增长 4.9%。,0
农业生产再获丰收，夏粮单产创历史新高。,0
上半年工业企业经济效益总体水平提高。,0
对于 产能过剩行业，根据“区别对待、不搞一刀切”的原则，督促金融机 构按照“消化一批、转移一批、整合一批、淘汰一批”的要求，改进 和强化信贷管理。,1
四是已出台政策措施持续显现成效，积极的财政政策加力提效， 稳健的货币政策精准有力，服务实体经济力度加大，为供给侧结构性 改革和高质量发展营造了适宜环境。,0
自改革开放以来， 我国经历了一个货币深化的过程，货币流通速度总体呈下降趋势，但也存在一定 的波动，大致是经济增长较快时，货币流通速度上升，经济增长放缓时，货币流 通速度增长率放缓或者下降。,1
建立健全金融市场基础设施的统筹管理框架，进一步加强市场基础设 施建设，确保金融市场整体稳定和安全高效运行。,0
进一步疏通货币政策传导机 制，增强金融支持实体经济的稳定性，促进经济金融良性循环，保持 物价水平合理稳定。,0
农业生产资料价格降幅大于农产品生产价格降幅，农 产品生产价格下降 0.2%，农业生产资料价格下降 0.9%。,1
第一季度，纽约商品 交易所原油期货当季平均价格环比上涨3.6%，同比上涨82.2%。,0
但也要看到，未来物价上涨的压力仍然 存在。,1
疫情反弹加剧全球经济分化。,1
（二）债券发行利率下行，发行量增加 债券发行利率下行。,1
亚洲新兴经济体随着内需和 外需进一步改善，复苏势头明显。,0
日本 经济受政策刺激强劲反弹，长期内挑战仍存。,0
从2008年初开始，商品房累计销售面积同比降幅逐月加大。,1
固定资产投资增速较快，产能过剩和结构性矛盾仍未缓解。,1
推动建立健全产业扶贫利益联结 机制，促进金融支持与产业扶贫有效融合；鼓励金融机构将新增资金、 新增项目、新增服务优先投向深度贫困地区。,0
物价将延续温和回升态势。,0
期货经营机构监管规则进一步健全。,0
9月议息会 议后公布的点阵图显示，半数委员预期在 2022 年首次加息。,1
大宗商品价格大幅上涨，发达经济体通胀攀升。,0
35 工业品价格呈现前期涨势平稳，后期涨幅明显扩大的态势。,0
专栏 3 巴塞尔银行委员会流动性管理新规 国际金融危机暴露了银行流动性管理的重大缺陷，凸显了流动性对金融市场 及银行体系正常运转的重要性。,1
工业生产快速回升，企业效益大幅增加。,0
制造业加快向中高端迈进。,0
在经济全球化背景下，我国积极参与全球分工，充分利用 劳动力成本低等比较优势，大力引进外商直接投资发展加工制造业，承接国际产 业转移。,0
全力做好助 学、大学生村官、民族地区等薄弱环节和弱势群体金融服务。,1
（一）消费持续改善，投资稳步回升，对外贸易实现正增长 居民收入持续回升，消费稳步恢复。,0
房地产价格持续上涨。,0
现在净值 越高，意味着是在更高的价格位置投资，未来的损失风险可能越大。,1
（六）外汇市场交易活跃 人民币外汇远期和“外币对”交易规模继续快速扩张。,0
要在更高水平上实现可持续发展，纺织行业需尽快转变发展方式，推 动行业转型升级。,0
一是生产增速在工业各行业中保持领先水平。,0
企业的存货调整有可能会加剧经 济和价格的波动，降低生产和进口速度，导致周期转换时的产出波动强于真实需 求波动。,1
如果通胀 33 水平持续低于目标值，欧元区长期通胀预期可能下行，容易引发通缩 风险，可能抑制欧元区经济增长，并拖累全球经济复苏。,1
进一步提升贸易投资便利化水平。,0
地震、海啸和核泄漏灾难导致日本生产、出 口和消费下滑，并对全球产业链造成负面影响。,1
加快发展外汇市场，推动汇率风险管理工具创新。,0
促进“资本下乡”，发挥政策合力，加大涉农信贷的支持范围和力度， 放宽社会资本准入限制条件，鼓励社会资本合作模式的创新。,0
成品油价格存在较大上调空间。,0
近期，收入分配不平等、 全球贸易失衡导致反全球化思潮与保护主义情绪进一步加剧，国际贸 易及投资保护主义风险仍需重视。,1
伦敦金属交易所铜现货当季平均价格比上季 度下跌 13.0%，比上年同期下跌 24.8%；铝现货当季平均价格比上季 度下跌 9.9%，比上年同期下跌 19.9%。,1
进一步放宽 QFII 和 RQFII 投资范围。,0
健全金融风险问责机制，对重大金融风险严肃追责问责，有效防 范道德风险，坚决守住不发生系统性金融风险的底线。,1
工业生产价格降幅略有扩大。,1
第一季度，实际GDP2增长 1.3%，比上年同期回落4.3个百分点。,1
聚焦重点支持群体和重点企业，创新开展 多种形式的政银企对接活动，提高融资对接有效性、精准性。,0
接管包商银行以来， 各项工作进展顺利，有序打破刚性兑付，如期完成清产核资。,0
促进保险业支持经济结构调整和转型升级。,0
钢 铁产品出口增长过快，加剧了国内能源、运输紧张矛盾。,1
（三）居民消费价格小幅上涨，核心 CPI 总体平稳 居民消费价格温和上涨。,0
严格执行差别化信贷政策，限制信贷流向投资投机 性购房。,1
虽然欧债危机导致经济增长动能 减弱，德国商业和住宅市场需求仍旧继续增加。,1
对理财产品的监管，应着重考量其风险收益的分担 是否合理。,1
此外，地缘政治冲突多点爆发，风险因素和不确定性加速累积， 对经济金融的影响加大。,1
债券发行利率总体回落。,1
新兴市场和发展中经济体由于经济增长强劲，2010 年通 胀率将上升为 6.3%。,0
同时，保险公司声誉风险监管也被纳入偿付能力监管制度体 系整体框架。,1
进口价格降幅收窄。,1
一是深入开展金融精准扶贫。,0
英国 2009 年 2 月通过的《银行法》建立了“特 殊处置制度”法律框架，授予有关当局处置倒闭银行的政策工具并建立新的银行 破产和管理程序。,1
新冠病 毒尚在变异发展，疫情反弹的可能性持续存在。,0
（二）债券市场发行利率明显回落，国债收益率曲线总体下移 国债收益率曲线总体下移并呈陡峭化趋势。,1
农村信用社改革取得重要进展和阶段性成果。,0
出口动能强劲，贸易结构持续优化。,0
落实存款利率市场化 调整机制，着力稳定银行负债成本。,1
进口价格降幅大于出口价格。,1
进出口大 幅萎缩，贸易逆差继续减少。,1
股票市场筹资额大幅增加。,0
对证券经营机构的监管进一步优化。,0
近年来，M2 增速与名义 GDP 增速趋近，以适度的货币增长支持了高质量发 展。,0
近几年，各国有独资商业银行大力改革 内部体制，提高管理水平，改善经营机制，取得了显著成效。,0
对于短期投机资金的大量流入，许 多学者提出过不同的政策建议，如 1972 年托宾教授（J. Tobin）提出对所有与 货币兑换有关的证券和外汇即期交易征收统一的税收，即“托宾税”（Tobin Tax）； 另外也有部分国家采取对短期资本流入增加无息准备金来抑制短期资本流动，降 低汇率波动性。,1
部分新兴经济体通胀同样继续升温，3 月巴西 IPCA、印度 CPI 分别同比上涨 11.3%和 7.0%。,0
产业链供应链修复加 快，6月汽车制造业增加值同比增速大幅转正至16.2%。,0
二是盘活存量、优化增量，支持经济结构调整和转型升级。,0
（一）消费增速加快，投资增幅仍处高位，贸易顺差继续扩 大 居民收入进一步提高，国内消费需求持续旺盛。,0
我国对外净资产规模进一步扩大。,0
对于当前期限错配和货币错配问题要有正确认识。,1
上半年，人民币对美元汇率有所 升值。,0
境内大额外币存款（300 万美元 以上）、外币贷款利率水平小幅波动。,1
存贷款市场的利率传导效率受损影响调控效果，制约货币政策空间。,1
但考虑到服务项目通 胀仍具粘性，地缘政治冲突还可能引发大宗商品价格波动，通胀回落 40 仍是一个相对缓慢的过程。,1
目前，生产价格、固定资产投资价格、房地产价格快速回升， 要防止出现资产价格过快上升，形成资产“泡沫”的危险。,1
随着信贷调控逐步发挥效力，金融机构人民币贷款增长有所放缓。,1
