year,quarter,Pos,Neg,Neg_net
2001,1,0.044076880273150924,0.029475190834275206,-0.014601689438875722
2001,2,0.036061048365123,0.022597805725277635,-0.013463242639845361
2001,3,0.034906681862602665,0.033778647865639985,-0.001128033996962677
2001,4,0.04386296018250885,0.025018439344807165,-0.018844520837701682
2002,1,0.05099986411592996,0.025035399106029966,-0.025964465009899997
2002,2,0.03757182175193646,0.03333228342200753,-0.004239538329928937
2002,3,0.041717415324196455,0.018513627610652,-0.023203787713544453
2002,4,0.04272796246539304,0.024787739852431708,-0.017940222612961333
2003,1,0.04304842648869245,0.019945460248034425,-0.023102966240658027
2003,2,0.048436463965574154,0.03404880952141283,-0.01438765444416132
2003,3,0.04762140609895779,0.02348475852444887,-0.024136647574508917
2003,4,0.053703830117302884,0.020317617054791647,-0.03338621306251124
2004,1,0.04347600999243421,0.026803017157472922,-0.016672992834961278
2004,2,0.04187948829661914,0.020050633507862476,-0.021828854788756662
2004,3,0.058093028113331335,0.02105294425801385,-0.037040083855317485
2004,4,0.05685103921751808,0.023131270583351047,-0.033719768634167036
2005,1,0.05560370004056765,0.02467847363921534,-0.030925226401352316
2005,2,0.051099809008292044,0.022551980855184575,-0.028547828153107472
2005,3,0.05222665710706544,0.022512448877601704,-0.02971420822946373
2005,4,0.05022921025284886,0.02361869467652122,-0.026610515576327643
2006,1,0.04441407537538021,0.01878464579151788,-0.02562942958386233
2006,2,0.054331306704465246,0.020563163614695196,-0.03376814308977005
2006,3,0.051034816171644626,0.01491217795079417,-0.036122638220850455
2006,4,0.05869996352340235,0.01613605609337041,-0.04256390743003194
2007,1,0.05820673714973665,0.017030544728484975,-0.041176192421251666
2007,2,0.056678392094655264,0.023214657782062005,-0.03346373431259325
2007,3,0.060010833921040126,0.02338692970971809,-0.03662390421132203
2007,4,0.06372421883375853,0.021457650501772896,-0.04226656833198563
2008,1,0.05308293570701009,0.030298418810045857,-0.02278451689696423
2008,2,0.05706853983246282,0.03767145086179483,-0.01939708897066799
2008,3,0.054074915802774536,0.04412620923376661,-0.009948706569007919
2008,4,0.050434047272266413,0.03804604890533757,-0.012387998366928846
2009,1,0.048067930339325646,0.035794718485483205,-0.012273211853842447
2009,2,0.05639935088054222,0.03626764617769047,-0.02013170470285176
2009,3,0.06586977269053601,0.02570342464368175,-0.040166348046854254
2009,4,0.05885105724091976,0.028689633570749502,-0.030161423670170256
2010,1,0.05223429528904054,0.03047754653544769,-0.021756748753592854
2010,2,0.05906855607357651,0.02905658376983258,-0.030011972303743924
2010,3,0.05610988034950238,0.023910483196132752,-0.03219939715336963
2010,4,0.05818367364358176,0.02434539281580861,-0.033838280827773154
2011,1,0.04732390746468269,0.029582465855119647,-0.01774144160956304
2011,2,0.048088095689276605,0.0301440876379935,-0.017944008051283107
2011,3,0.04770010273591381,0.03549963469695774,-0.012200468038956079
2011,4,0.0467797939840134,0.03622628341543996,-0.010553510568573444
2012,1,0.04969636333722285,0.02737935689251948,-0.022317006444703365
2012,2,0.04965014443479661,0.032607312165555805,-0.017042832269240804
2012,3,0.052729092102514835,0.027213944278390464,-0.025515147824124375
2012,4,0.05533411668485021,0.028520461082505784,-0.026813655602344423
2013,1,0.05330284329101444,0.02600323008253077,-0.02729961320848367
2013,2,0.051220184848220086,0.030865145471377836,-0.02035503937684225
