指标名称,中国:CPI:当月同比,中国:GDP:不变价:当季同比,中国:GDP:不变价:同比,中国:M2:同比,中国:工业增加值:规模以上工业企业:当月同比(1-2月拆分),中国:进出口金额:当月同比
单位,%,%,%,%,%,%
1986-12-31,,,,29.3,,
1987-01-31,5.1,,,29.3,,
1987-02-28,5.4,,,29.3,,
1987-03-31,5.8,,,29.3,,
1987-04-30,6.7,,,29.3,,
1987-05-31,7.6,,,29.3,,
1987-06-30,7.8,,,29.3,,
1987-07-31,7.8,,,29.3,,
1987-08-31,8.2,,,29.3,,
1987-09-30,7.7,,,29.3,,
1987-10-31,7.5,,,29.3,,
1987-11-30,8.3,,,29.3,,
1987-12-31,8.9,,,24,,
1988-01-31,9.4,,,24,,
1988-02-29,10.4,,,24,,
1988-03-31,11.3,,,24,,
1988-04-30,12.2,,,24,,
1988-05-31,14.2,,,24,,
1988-06-30,16.3,,,24,,
1988-07-31,19.2,,,24,,
1988-08-31,23.6,,,24,,
1988-09-30,26.4,,,24,,
1988-10-31,27.1,,,24,,
1988-11-30,26.8,,,24,,
1988-12-31,27.9,,,21.2,,
1989-01-31,27.4,,,21.2,,
1989-02-28,28.4,,,21.2,,
1989-03-31,27.1,,,21.2,,
1989-04-30,26.6,,,21.2,,
1989-05-31,24.8,,,21.2,,
1989-06-30,22.8,,,21.2,,
1989-07-31,19.4,,,21.2,,
1989-08-31,15.3,,,21.2,,
1989-09-30,11.5,,,21.2,,
1989-10-31,8.6,,,21.2,,
1989-11-30,7.4,,,21.2,,
1989-12-31,6.6,,,18.3,,
1990-01-31,4.3,,,18.3,-21.1,
1990-02-28,4.4,,,18.3,5,
1990-03-31,3.4,,,18.3,0.8,
1990-04-30,3.2,,,18.3,1.7,
1990-05-31,2.7,,,18.3,3.3,
1990-06-30,1.1,,,18.3,5,
1990-07-31,1.1,,,18.3,2.5,
1990-08-31,2.5,,,18.3,4.2,
1990-09-30,2.9,,,18.3,6.7,
1990-10-31,3.1,,,18.3,10.9,
1990-11-30,3.7,,,18.3,12.6,
1990-12-31,4.3,,,28,12.6,
1991-01-31,2.2,,,28,23.5,
1991-02-28,1,,,28,9.2,
1991-03-31,1.6,,,28,10.9,
1991-04-30,1.3,,,28,10.9,
1991-05-31,3.6,,,28,10.9,
1991-06-30,4.4,,,28,9.2,
1991-07-31,4.7,,,28,10.9,
1991-08-31,4.9,,,28,11.8,
1991-09-30,4.5,,,28,12.6,
1991-10-31,4.8,,,28,11.8,
1991-11-30,4.4,,,28,7.6,
1991-12-31,4.5,,,26.5,5,
1992-01-31,5.5,,4.533333333333333,26.5,10.9,
1992-02-29,5.3,,4.533333333333333,26.5,18.5,
1992-03-31,5.3,13.6,4.533333333333333,26.5,16.8,
1992-04-30,7.1,,4.7,26.5,15.1,
1992-05-31,4.7,,4.7,26.5,14.3,
1992-06-30,4.8,14.1,4.7,26.5,16.8,
1992-07-31,5.2,,4.866666666666667,26.5,19.3,
1992-08-31,5.8,,4.866666666666667,26.5,17.6,
1992-09-30,7.5,14.6,4.866666666666667,26.5,17.6,
1992-10-31,7.9,,4.866666666666667,26.5,18.5,
1992-11-30,8.2,,4.866666666666667,26.5,21.8,
1992-12-31,8.8,14.6,4.866666666666667,31.3,26.9,
