"Index","ARMA_p","ARMA_q","ARMA_Order","LB_pval","Converged","Pass_LB"
"SH",1,1,"ARMA(1,1)",0,TRUE,FALSE
"SH",2,1,"ARMA(2,1)",0,TRUE,FALSE
"SH",2,2,"ARMA(2,2)",0,TRUE,FALSE
"SH",3,0,"ARMA(3,0)",0,TRUE,FALSE
"SH",3,1,"ARMA(3,1)",0,TRUE,FALSE
"SH",3,2,"ARMA(3,2)",0,TRUE,FALSE
"SH",1,2,"ARMA(1,2)",0,TRUE,FALSE
"SH",1,3,"ARMA(1,3)",0,TRUE,FALSE
"SH",4,1,"ARMA(4,1)",0,TRUE,FALSE
"SH",5,0,"ARMA(5,0)",0,TRUE,FALSE
"SZ",1,1,"ARMA(1,1)",3.059e-10,TRUE,FALSE
"SZ",2,1,"ARMA(2,1)",0,TRUE,FALSE
"SZ",2,2,"ARMA(2,2)",0,TRUE,FALSE
"SZ",3,0,"ARMA(3,0)",0,TRUE,FALSE
"SZ",3,1,"ARMA(3,1)",0,TRUE,FALSE
"SZ",3,2,"ARMA(3,2)",0,TRUE,FALSE
"SZ",1,2,"ARMA(1,2)",0,TRUE,FALSE
"SZ",1,3,"ARMA(1,3)",0,TRUE,FALSE
"SZ",4,1,"ARMA(4,1)",0,TRUE,FALSE
"SZ",5,0,"ARMA(5,0)",0,TRUE,FALSE
"HS300",1,1,"ARMA(1,1)",1.554e-15,TRUE,FALSE
"HS300",2,1,"ARMA(2,1)",0,TRUE,FALSE
"HS300",2,2,"ARMA(2,2)",0,TRUE,FALSE
"HS300",3,0,"ARMA(3,0)",0,TRUE,FALSE
"HS300",3,1,"ARMA(3,1)",0,TRUE,FALSE
"HS300",3,2,"ARMA(3,2)",0,TRUE,FALSE
"HS300",1,2,"ARMA(1,2)",0,TRUE,FALSE
"HS300",1,3,"ARMA(1,3)",0,TRUE,FALSE
"HS300",4,1,"ARMA(4,1)",0,TRUE,FALSE
"HS300",5,0,"ARMA(5,0)",0,TRUE,FALSE
"CSI500",1,1,"ARMA(1,1)",0,TRUE,FALSE
"CSI500",2,1,"ARMA(2,1)",1.11e-16,TRUE,FALSE
"CSI500",2,2,"ARMA(2,2)",2.554e-15,TRUE,FALSE
"CSI500",3,0,"ARMA(3,0)",5.689e-09,TRUE,FALSE
"CSI500",3,1,"ARMA(3,1)",1.554e-15,TRUE,FALSE
"CSI500",3,2,"ARMA(3,2)",0,TRUE,FALSE
"CSI500",1,2,"ARMA(1,2)",1.11e-16,TRUE,FALSE
"CSI500",1,3,"ARMA(1,3)",1.01e-14,TRUE,FALSE
"CSI500",4,1,"ARMA(4,1)",0,TRUE,FALSE
"CSI500",5,0,"ARMA(5,0)",0,TRUE,FALSE
