h,shock,beta,se,nobs,bw,lo_90,hi_90,lo_95,hi_95,index,shock_label
0,tone_p90_all_z,-0.411887632125212,0.238642347530534,4675,5,-0.804419363005025,-0.0193559012453998,-0.87961803847115,0.0558427742207254,SH,ToneAll (z)
1,tone_p90_all_z,-0.13912655564189,0.274423148567096,4674,6,-0.59051246688192,0.312259355598141,-0.676986043357482,0.398732932073703,SH,ToneAll (z)
2,tone_p90_all_z,-0.391571364260233,0.385177130033238,4673,7,-1.02513136361416,0.241988635093697,-1.14650466679388,0.363361938273414,SH,ToneAll (z)
3,tone_p90_all_z,-0.65585843851865,0.479208169664849,4672,8,-1.44408573445665,0.132368857419354,-1.59508919215911,0.283372315121814,SH,ToneAll (z)
4,tone_p90_all_z,-0.739698680533772,0.527959607086836,4671,9,-1.60811495513443,0.128717594066884,-1.77448049571589,0.295083134648344,SH,ToneAll (z)
5,tone_p90_all_z,-0.575995334517734,0.604450633766394,4670,10,-1.5702281517815,0.418237482746034,-1.76069680713228,0.608706138096807,SH,ToneAll (z)
6,tone_p90_all_z,-0.336060678682877,0.530493649408077,4669,11,-1.20864508198647,0.536523724620722,-1.37580912554993,0.703687768184173,SH,ToneAll (z)
7,tone_p90_all_z,-0.519145605700276,0.514086720659083,4668,12,-1.36474301274396,0.326451801343405,-1.52673706312238,0.48844585172183,SH,ToneAll (z)
8,tone_p90_all_z,-0.542348066062263,0.513072725158064,4667,13,-1.38627759892838,0.301581466803854,-1.54795212882189,0.46325599669736,SH,ToneAll (z)
9,tone_p90_all_z,-0.707637714755397,0.569911762711715,4666,14,-1.64505914469407,0.229783715183274,-1.82464424403609,0.409368814525301,SH,ToneAll (z)
10,tone_p90_all_z,-0.8090717756927,0.579943003708806,4665,15,-1.76299312876826,0.144849577382861,-1.94573917604794,0.327595624662539,SH,ToneAll (z)
0,tone_p90_all_z,-0.615764062110426,0.280893602416016,4675,5,-1.07779292283187,-0.153735201388978,-1.16630540633353,-0.0652227178873219,SZ,ToneAll (z)
1,tone_p90_all_z,-0.363818391231185,0.352501179608592,4674,6,-0.94363123501505,0.215994452552679,-1.05470800777191,0.32707122530954,SZ,ToneAll (z)
2,tone_p90_all_z,-0.760789586506135,0.488386226590316,4673,7,-1.56411344266636,0.0425342696540892,-1.71800900116857,0.196429828156302,SZ,ToneAll (z)
3,tone_p90_all_z,-0.975904924131759,0.596145271464018,4672,8,-1.95647663608932,0.00466678782580077,-2.14432818575509,0.19251833749157,SZ,ToneAll (z)
4,tone_p90_all_z,-1.0519628161855,0.641335593122564,4671,9,-2.10686599262623,0.00294036025521849,-2.30895748070936,0.205031848338355,SZ,ToneAll (z)
5,tone_p90_all_z,-0.750767091757907,0.743786672620025,4670,10,-1.97418729789512,0.472653114379308,-2.20856218227404,0.707027998758225,SZ,ToneAll (z)
6,tone_p90_all_z,-0.524366590977916,0.646308002259605,4669,11,-1.58744865262239,0.538715470666555,-1.79110699832677,0.74237381637094,SZ,ToneAll (z)
7,tone_p90_all_z,-0.731253459310724,0.656938740402474,4668,12,-1.81182152914666,0.349314610525217,-2.01882973054868,0.556322811927233,SZ,ToneAll (z)
8,tone_p90_all_z,-0.741138791677697,0.718736387085978,4667,13,-1.92335494479806,0.441077361442671,-2.14983622474465,0.667558641389258,SZ,ToneAll (z)
9,tone_p90_all_z,-0.950785876394638,0.778707596779503,4666,14,-2.23164589129207,0.330074138502792,-2.4770247205702,0.575452967780926,SZ,ToneAll (z)
10,tone_p90_all_z,-1.14353832919344,0.830094236839077,4665,15,-2.50892184536971,0.221845186982835,-2.77049313717229,0.483416478785417,SZ,ToneAll (z)
0,tone_p90_all_z,-0.542003607478599,0.260313690812741,4675,5,-0.97018152595706,-0.113825689000137,-1.05220906615427,-0.0317981488029309,HS300,ToneAll (z)
1,tone_p90_all_z,-0.223260394121017,0.291707327078707,4674,6,-0.703076249074748,0.256555460832714,-0.794996249221729,0.348475460979695,HS300,ToneAll (z)
2,tone_p90_all_z,-0.578653070559018,0.411667108805619,4673,7,-1.25578520757457,0.0984790664565305,-1.38550577743776,0.228199636319727,HS300,ToneAll (z)
3,tone_p90_all_z,-0.848435420518659,0.505392446996533,4672,8,-1.67973201999479,-0.0171388210425326,-1.83898641469043,0.142115573653113,HS300,ToneAll (z)
4,tone_p90_all_z,-0.956328315409203,0.556260154487014,4671,9,-1.87129484804575,-0.0413617827726515,-2.04657818423844,0.133921553420031,HS300,ToneAll (z)
5,tone_p90_all_z,-0.79669732881693,0.646942535903565,4670,10,-1.86082310542709,0.267428447793232,-2.06468139925493,0.471286741621068,HS300,ToneAll (z)
6,tone_p90_all_z,-0.56030438358308,0.543814236361331,4669,11,-1.45479920264986,0.334190435483701,-1.62616070113144,0.505551933965282,HS300,ToneAll (z)
7,tone_p90_all_z,-0.750824274987546,0.550873501988843,4668,12,-1.65693055272535,0.155282002750261,-1.83051649892313,0.328867948948039,HS300,ToneAll (z)
8,tone_p90_all_z,-0.839209099270908,0.581482485307072,4667,13,-1.795662674237,0.117244475695185,-1.97889382811361,0.300475629571793,HS300,ToneAll (z)
