h,shock,beta,se,nobs,bw,lo_90,hi_90,lo_95,hi_95,index,shock_label
0,d_tone_policy,0.0303733793906251,0.157885563854775,4675,0,-0.229325262959179,0.29007202174043,-0.279076639443532,0.339823398224783,SH,ΔTonePolicy (z)
0,d_tone_macro,0.0572482368967198,0.172537987645253,4675,0,-0.226551497868482,0.341047971661922,-0.280920004852992,0.395416478646432,SH,ΔToneMacro (z)
1,d_tone_policy,-0.0592112573769906,0.247248366688309,4674,1,-0.465898630082083,0.347476115328102,-0.543809151322429,0.425386636568448,SH,ΔTonePolicy (z)
1,d_tone_macro,-0.0932271340983016,0.213959173606986,4674,1,-0.445158656825292,0.258704388628688,-0.512579408529946,0.326125140333343,SH,ΔToneMacro (z)
2,d_tone_policy,-0.0918527572473139,0.270295002921911,4673,2,-0.536448473150278,0.35274295865565,-0.621621228175408,0.43791571368078,SH,ΔTonePolicy (z)
2,d_tone_macro,-0.287367954059943,0.283403046382848,4673,2,-0.753524482791867,0.178788574671981,-0.84282771807926,0.268091809959374,SH,ΔToneMacro (z)
3,d_tone_policy,-0.0862151904368954,0.32749287252677,4672,3,-0.624893029613309,0.452462648739518,-0.728089425782932,0.555659044909141,SH,ΔTonePolicy (z)
3,d_tone_macro,-0.256299442781575,0.346277881124522,4672,3,-0.825875871482316,0.313276985919166,-0.93499161842848,0.42239273286533,SH,ΔToneMacro (z)
4,d_tone_policy,-0.261546488759952,0.381218876822716,4671,4,-0.888595740964162,0.365502763444258,-1.00872175755929,0.485628780039381,SH,ΔTonePolicy (z)
4,d_tone_macro,-0.276610339902427,0.37146626516985,4671,4,-0.887617973457171,0.334397293652317,-1.00467084110694,0.451450161302083,SH,ΔToneMacro (z)
5,d_tone_policy,-0.223485568359902,0.407790184583195,4670,5,-0.894240732506781,0.447269595786976,-1.02273964339191,0.575768506672101,SH,ΔTonePolicy (z)
5,d_tone_macro,-0.242164685527181,0.415856308640385,4670,5,-0.926187443084969,0.441858072030607,-1.05722807320611,0.572898702151746,SH,ΔToneMacro (z)
6,d_tone_policy,-0.720860052953279,0.468761929028689,4669,6,-1.49190481209289,0.0501847061863285,-1.63961655117303,0.197896445266472,SH,ΔTonePolicy (z)
6,d_tone_macro,-0.211078727586686,0.358303473305495,4669,6,-0.800435495202539,0.378278040029168,-0.913340630801064,0.491183175627693,SH,ΔToneMacro (z)
7,d_tone_policy,-0.614225297439202,0.530511635792704,4668,7,-1.48683928571279,0.258388690834384,-1.65400899697233,0.425558402093927,SH,ΔTonePolicy (z)
7,d_tone_macro,-0.248480217803464,0.399354647010587,4668,7,-0.905360157378753,0.408399721771826,-1.03120094300292,0.534240507395994,SH,ΔToneMacro (z)
8,d_tone_policy,-0.607194463095904,0.548783386481922,4667,8,-1.5098628067614,0.295473880569597,-1.6827901359144,0.468401209722589,SH,ΔTonePolicy (z)
8,d_tone_macro,-0.151286996739922,0.396449744827812,4667,8,-0.803388797423934,0.50081480394409,-0.928314218282527,0.625740224802684,SH,ΔToneMacro (z)
9,d_tone_policy,-0.551415899445348,0.585716058420869,4666,9,-1.51483308250263,0.412001283611938,-1.69939827911701,0.596566480226313,SH,ΔTonePolicy (z)
9,d_tone_macro,-0.469014929709762,0.42697768223577,4666,9,-1.1713307189626,0.233300859543077,-1.30587580909426,0.367845949674734,SH,ΔToneMacro (z)
10,d_tone_policy,-0.314580253397595,0.627351553912186,4665,10,-1.3464817322237,0.717321225428505,-1.54416670471072,0.915006197915527,SH,ΔTonePolicy (z)
10,d_tone_macro,-0.363427534673084,0.429416670150186,4665,10,-1.06975510204304,0.342900032696873,-1.20506874252856,0.478213673182397,SH,ΔToneMacro (z)
0,d_tone_policy,0.0130452812493072,0.214376459728528,4675,0,-0.339572616068178,0.365663178566793,-0.407124858951809,0.433215421450423,SZ,ΔTonePolicy (z)
0,d_tone_macro,0.10557731047144,0.205649626242772,4675,0,-0.232686223135197,0.443840844078078,-0.297488550398515,0.508643171341396,SZ,ΔToneMacro (z)
1,d_tone_policy,-0.110072118845496,0.303606743898007,4674,1,-0.609460772713059,0.389316535022068,-0.705130402349065,0.484986164658074,SZ,ΔTonePolicy (z)
1,d_tone_macro,-0.0354261480576389,0.267211350998822,4674,1,-0.474949707910654,0.404097411795376,-0.55915077227562,0.488298476160343,SZ,ΔToneMacro (z)
2,d_tone_policy,-0.0393868732454327,0.38150023193491,4673,2,-0.666898913426397,0.588125166935531,-0.787113587931533,0.708339841440668,SZ,ΔTonePolicy (z)
2,d_tone_macro,-0.251774904646031,0.356462490316308,4673,2,-0.838103524714963,0.334553715422902,-0.950428547505451,0.44687873821339,SZ,ΔToneMacro (z)
3,d_tone_policy,-0.134404948653944,0.43528287069227,4672,3,-0.850381557261972,0.581571659954085,-0.987543698297997,0.71873380099011,SZ,ΔTonePolicy (z)
3,d_tone_macro,-0.143335122915817,0.413991290764538,4672,3,-0.824290199056188,0.537619953224555,-0.95474314272756,0.668072896895927,SZ,ΔToneMacro (z)
4,d_tone_policy,-0.343132062719447,0.452085003386689,4671,4,-1.08674572023041,0.400481594791517,-1.22920238730803,0.542938261869132,SZ,ΔTonePolicy (z)
4,d_tone_macro,-0.181402645661826,0.423100698486977,4671,4,-0.877341364133832,0.514536072810179,-1.01066477653004,0.647859485206389,SZ,ΔToneMacro (z)
5,d_tone_policy,-0.224227119625225,0.464849738860021,4670,5,-0.988836898576576,0.540382659326125,-1.13531586601372,0.686861626763266,SZ,ΔTonePolicy (z)
5,d_tone_macro,-0.167424504616121,0.472225928930991,4670,5,-0.944167036558789,0.609318027326548,-1.09297031788683,0.758121308654592,SZ,ΔToneMacro (z)
6,d_tone_policy,-0.748627618810445,0.491219379387186,4669,6,-1.55661159662431,0.0593563590034186,-1.71139991091745,0.214144673296556,SZ,ΔTonePolicy (z)
6,d_tone_macro,-0.150720681497063,0.420312984424867,4669,6,-0.842074018383102,0.540632655388977,-0.974518993204346,0.67307763021022,SZ,ΔToneMacro (z)
7,d_tone_policy,-0.713650228451232,0.576262235974236,4668,7,-1.66151725736862,0.234216800466155,-1.84310345661126,0.415802999708792,SZ,ΔTonePolicy (z)
7,d_tone_macro,-0.225983015953627,0.459587591275498,4668,7,-0.981937332365021,0.529971300457766,-1.12675814259512,0.674792110687864,SZ,ΔToneMacro (z)
8,d_tone_policy,-0.711528371207395,0.646061636691205,4667,8,-1.77420519755313,0.351148455138337,-1.97778591091516,0.554729168500367,SZ,ΔTonePolicy (z)
8,d_tone_macro,-0.0977769440002057,0.479829926907525,4667,8,-0.887026939593907,0.691473051593496,-1.03822631944344,0.842672431443029,SZ,ΔToneMacro (z)
9,d_tone_policy,-0.7416976214587,0.662167268129148,4666,9,-1.83086585408948,0.347470611172077,-2.03952161873311,0.556126375815707,SZ,ΔTonePolicy (z)
9,d_tone_macro,-0.375518161483211,0.507262161608348,4666,9,-1.20989016781995,0.458853844853523,-1.36973372895551,0.618697405989087,SZ,ΔToneMacro (z)
10,d_tone_policy,-0.578764254734798,0.717623976681029,4665,10,-1.75915065556593,0.601622146096331,-1.98528140347203,0.82775289400243,SZ,ΔTonePolicy (z)
10,d_tone_macro,-0.207897609524286,0.48344446618941,4665,10,-1.00309299316556,0.587297774116984,-1.15543135178072,0.73963613273215,SZ,ΔToneMacro (z)
0,d_tone_policy,0.00255373587845764,0.174786024559759,4675,0,-0.284943690559091,0.290051162316006,-0.340020577259603,0.345128049016519,HS300,ΔTonePolicy (z)
0,d_tone_macro,0.0355940265905738,0.177525946894326,4675,0,-0.256410171036552,0.3275982242177,-0.312350435643674,0.383538488824822,HS300,ΔToneMacro (z)
1,d_tone_policy,-0.065036979805686,0.252443780773056,4674,1,-0.48027004821159,0.350196088600218,-0.559817698242001,0.429743738630629,HS300,ΔTonePolicy (z)
1,d_tone_macro,-0.11659441798607,0.222201852049379,4674,1,-0.482083940244826,0.248895104272686,-0.552102045300951,0.318913209328811,HS300,ΔToneMacro (z)
2,d_tone_policy,-0.087466078799108,0.280752463935469,4673,2,-0.549262787378926,0.37433062978071,-0.637730796683507,0.462798639085291,HS300,ΔTonePolicy (z)
2,d_tone_macro,-0.395572028632695,0.290634092353044,4673,2,-0.873622569555349,0.0824785122899584,-0.965204382324149,0.174060325058759,HS300,ΔToneMacro (z)
3,d_tone_policy,-0.0920241711988553,0.333253776932103,4672,3,-0.640177854880902,0.456129512483192,-0.745189571697723,0.561141229300012,HS300,ΔTonePolicy (z)
3,d_tone_macro,-0.340490701250736,0.352245672672856,4672,3,-0.919883273524644,0.238901871023173,-1.03087953339962,0.349898130898147,HS300,ΔToneMacro (z)
4,d_tone_policy,-0.222290459657619,0.399194392307126,4671,4,-0.878906803702683,0.434325884387445,-1.00469709140994,0.5601161720947,HS300,ΔTonePolicy (z)
4,d_tone_macro,-0.355971763535234,0.37697973664075,4671,4,-0.976048250635982,0.264104723565515,-1.0948384702525,0.382894943182031,HS300,ΔToneMacro (z)
5,d_tone_policy,-0.199999852797812,0.425089670887755,4670,5,-0.899210139737143,0.49921043414152,-1.0331602979378,0.633160592342173,HS300,ΔTonePolicy (z)
5,d_tone_macro,-0.281846067708735,0.437023661209351,4670,5,-1.00068602191255,0.436993886495077,-1.1383967040709,0.574704568653427,HS300,ΔToneMacro (z)
6,d_tone_policy,-0.70498011762826,0.45579696259892,4669,6,-1.45469940471256,0.0447391694560385,-1.59832574858489,0.188365513328374,HS300,ΔTonePolicy (z)
6,d_tone_macro,-0.244114382144329,0.361117893039843,4669,6,-0.838100458267988,0.349871693979329,-0.951892446675408,0.463663682386749,HS300,ΔToneMacro (z)
7,d_tone_policy,-0.655156007390459,0.526351782328511,4668,7,-1.52092764560588,0.210615630824963,-1.68678654395281,0.376474529171888,HS300,ΔTonePolicy (z)
7,d_tone_macro,-0.320581781281893,0.396748849054265,4668,7,-0.973175564637622,0.332012002073836,-1.09819523633597,0.457031673772184,HS300,ΔToneMacro (z)
8,d_tone_policy,-0.656352542628435,0.554190150198934,4667,8,-1.56791422120393,0.255209135947063,-1.74254527760519,0.429840192348319,HS300,ΔTonePolicy (z)
8,d_tone_macro,-0.210380998157808,0.397000818653576,4667,8,-0.863389234622846,0.44262723830723,-0.988488304551734,0.567726308236118,HS300,ΔToneMacro (z)
9,d_tone_policy,-0.584308772650428,0.577534587070906,4666,9,-1.53426863288393,0.365651087583072,-1.71625576313561,0.547638217834759,HS300,ΔTonePolicy (z)
9,d_tone_macro,-0.48542051195803,0.422798677527129,4666,9,-1.18086245015881,0.210021426242753,-1.31409069262237,0.343249668706306,HS300,ΔToneMacro (z)
10,d_tone_policy,-0.318739904276954,0.618532060798673,4665,10,-1.33613460786742,0.69865479931351,-1.53104046672569,0.893560658171782,HS300,ΔTonePolicy (z)
10,d_tone_macro,-0.349465440151159,0.429884326925204,4665,10,-1.05656223446367,0.357631354161354,-1.1920232384428,0.493092358140482,HS300,ΔToneMacro (z)
