event_date,year,quarter,obs_date,gdp_yoy,gdp_forecast,forecast_available,S_gdp,D_gdp
2003-07-16,2003,2,2003-06-30,6.7,7.3,1,-0.5999999999999996,1
2003-10-16,2003,3,2003-09-30,9.1,8.7,1,0.40000000000000036,1
2004-01-19,2003,4,2003-12-31,9.9,,0,0.0,1
2004-04-14,2004,1,2004-03-31,9.7,9.2,1,0.5,1
2004-07-15,2004,2,2004-06-30,9.6,10.5,1,-0.9000000000000004,1
2004-10-21,2004,3,2004-09-30,9.1,8.85,1,0.25,1
2005-01-24,2004,4,2004-12-31,9.5,8.85,1,0.6500000000000004,1
2005-04-19,2005,1,2005-03-31,9.4,9.0,1,0.40000000000000036,1
2005-07-19,2005,2,2005-06-30,9.5,9.15,1,0.34999999999999964,1
2005-10-19,2005,3,2005-09-30,9.4,,0,0.0,1
2006-01-24,2005,4,2005-12-31,9.9,9.5,1,0.40000000000000036,1
2006-04-19,2006,1,2006-03-31,10.2,9.65,1,0.5499999999999989,1
2006-07-17,2006,2,2006-06-30,11.3,10.4,1,0.9000000000000004,1
2006-10-18,2006,3,2006-09-30,10.4,10.4,1,0.0,1
2007-01-24,2006,4,2006-12-31,10.4,10.2,1,0.20000000000000107,1
2007-04-19,2007,1,2007-03-31,11.1,10.4,1,0.6999999999999993,1
2007-07-18,2007,2,2007-06-30,11.9,11.0,1,0.9000000000000004,1
2007-10-24,2007,3,2007-09-30,11.5,11.5,1,0.0,1
2008-01-23,2007,4,2007-12-31,11.2,11.3,1,-0.10000000000000142,1
2008-04-16,2008,1,2008-03-31,10.6,10.35,1,0.25,1
2008-07-16,2008,2,2008-06-30,10.1,10.25,1,-0.15000000000000036,1
2008-10-19,2008,3,2008-09-30,9.0,9.65,1,-0.6500000000000004,1
2009-01-21,2008,4,2008-12-30,6.8,6.8,1,0.0,1
2009-04-15,2009,1,2009-03-30,6.2,6.2,1,0.0,1
2009-07-15,2009,2,2009-06-29,7.9,7.75,1,0.15000000000000036,1
2009-10-21,2009,3,2009-09-29,8.9,9.0,1,-0.09999999999999964,1
2010-01-20,2009,4,2009-12-30,10.7,10.5,1,0.1999999999999993,1
2010-04-14,2010,1,2010-03-31,11.9,11.65,1,0.25,1
2010-07-14,2010,2,2010-06-30,10.3,10.5,1,-0.1999999999999993,1
2010-10-20,2010,3,2010-09-30,9.6,9.5,1,0.09999999999999964,1
2011-01-19,2010,4,2010-12-31,9.8,9.35,1,0.45000000000000107,1
2011-04-14,2011,1,2011-03-31,9.7,9.4,1,0.29999999999999893,1
2011-07-12,2011,2,2011-06-30,9.5,9.3,1,0.1999999999999993,1
2011-10-17,2011,3,2011-09-30,9.1,9.25,1,-0.15000000000000036,1
2012-01-16,2011,4,2011-12-31,8.9,8.7,1,0.20000000000000107,1
2012-04-12,2012,1,2012-03-31,8.1,8.4,1,-0.3000000000000007,1
2012-07-12,2012,2,2012-06-30,7.6,7.65,1,-0.05000000000000071,1
2012-10-17,2012,3,2012-09-30,7.4,7.4,1,0.0,1
2013-01-17,2012,4,2012-12-31,7.9,7.8,1,0.10000000000000053,1
2013-04-14,2013,1,2013-03-31,7.7,8.0,1,-0.2999999999999998,1
2013-07-14,2013,2,2013-06-30,7.5,7.5,1,0.0,1
2013-10-17,2013,3,2013-09-30,7.8,7.8,1,0.0,1
2014-01-19,2013,4,2013-12-31,7.7,7.6,1,0.10000000000000053,1
2014-04-15,2014,1,2014-03-31,7.4,7.3,1,0.10000000000000053,1
2014-07-15,2014,2,2014-06-30,7.5,7.4,1,0.09999999999999964,1
2014-10-20,2014,3,2014-09-30,7.3,7.2,1,0.09999999999999964,1
2015-01-19,2014,4,2014-12-31,7.3,7.2,1,0.09999999999999964,1
2015-04-14,2015,1,2015-03-31,7.0,7.0,1,0.0,1
2015-07-14,2015,2,2015-06-30,7.0,6.8,1,0.20000000000000018,1
2015-10-18,2015,3,2015-09-30,6.9,6.8,1,0.10000000000000053,1
2016-01-18,2015,4,2015-12-31,6.8,6.9,1,-0.10000000000000053,1
2016-04-14,2016,1,2016-03-31,6.7,6.7,1,0.0,1
2016-07-14,2016,2,2016-06-30,6.7,6.6,1,0.10000000000000053,1
2016-10-18,2016,3,2016-09-30,6.7,6.7,1,0.0,1
2017-01-19,2016,4,2016-12-31,6.8,6.7,1,0.09999999999999964,1
2017-04-16,2017,1,2017-03-31,6.9,6.8,1,0.10000000000000053,1
2017-07-16,2017,2,2017-06-30,6.9,6.8,1,0.10000000000000053,1
2017-10-18,2017,3,2017-09-30,6.8,6.8,1,0.0,1
2018-01-18,2017,4,2017-12-31,6.8,6.7,1,0.09999999999999964,1
2018-04-16,2018,1,2018-03-31,6.8,6.8,1,0.0,1
2018-07-15,2018,2,2018-06-30,6.7,6.7,1,0.0,1
2018-10-18,2018,3,2018-09-30,6.5,6.6,1,-0.09999999999999964,1
2019-01-20,2018,4,2018-12-31,6.4,6.4,1,0.0,1
2019-04-16,2019,1,2019-03-31,6.4,6.3,1,0.10000000000000053,1
2019-07-14,2019,2,2019-06-30,6.2,6.2,1,0.0,1
2019-10-17,2019,3,2019-09-30,6.0,6.1,1,-0.09999999999999964,1
2020-01-16,2019,4,2019-12-31,6.0,6.0,1,0.0,1
2020-04-16,2020,1,2020-03-31,-6.8,-6.0,1,-0.7999999999999998,1
2020-07-15,2020,2,2020-06-30,3.2,2.35,1,0.8500000000000001,1
2020-10-18,2020,3,2020-09-30,4.9,5.5,1,-0.5999999999999996,1
2021-01-17,2020,4,2020-12-31,6.5,6.2,1,0.2999999999999998,1
2021-04-15,2021,1,2021-03-31,18.3,18.5,1,-0.1999999999999993,1
2021-07-14,2021,2,2021-06-30,7.9,8.0,1,-0.09999999999999964,1
2021-10-17,2021,3,2021-09-30,4.9,5.0,1,-0.09999999999999964,1
2022-01-16,2021,4,2021-12-31,4.0,3.3,1,0.7000000000000002,1
2022-04-17,2022,1,2022-03-31,4.8,4.2,1,0.5999999999999996,1
2022-07-14,2022,2,2022-06-30,0.4,1.2,1,-0.7999999999999999,1
2022-10-23,2022,3,2022-09-30,3.9,3.25,1,0.6499999999999999,1
2023-01-16,2022,4,2022-12-31,2.9,1.6,1,1.2999999999999998,1
2023-04-17,2023,1,2023-03-31,4.5,4.0,1,0.5,1
2023-07-16,2023,2,2023-06-30,6.3,7.05,1,-0.75,1
2023-10-17,2023,3,2023-09-30,4.9,4.5,1,0.40000000000000036,1
2024-01-16,2023,4,2023-12-31,5.2,5.25,1,-0.04999999999999982,1
2024-04-15,2024,1,2024-03-31,5.3,4.8,1,0.5,1
2024-07-14,2024,2,2024-06-30,4.7,5.1,1,-0.39999999999999947,1
2024-10-17,2024,3,2024-09-30,4.6,4.5,1,0.09999999999999964,1
2025-01-16,2024,4,2024-12-31,5.4,5.0,1,0.40000000000000036,1
2025-04-15,2025,1,2025-03-31,5.4,5.2,1,0.20000000000000018,1
2025-07-14,2025,2,2025-06-30,5.2,5.1,1,0.10000000000000053,1
2025-10-19,2025,3,2025-09-30,4.8,4.7,1,0.09999999999999964,1
