id,year,quarter,section,section_title,sent_id_in_report,text,dict_tone,is_valid_unit,label
47440,2023,1,S4,第四部分宏观经济分析,363,硅谷银行等事件使得美联储加息计划面临两难，继续加息不排除更多中小银行陷入困境，威胁金融稳定；而暂缓加息可能导致高通胀时间延长。,-0.088235294117647,1.0,1
50873,2024,2,S3,第三部分金融市场运行,316,首先是如何看风险和收益。,-0.125,1.0,1
380,2001,3,S1,第一部分货币政策分析,61,（二）中小企业贷款难原因是多方面的，但在部分地区中小企业贷款难现象出现缓解苗头在中国人民银行对县级企业贷款发放情况的调查中，企业反映，今年前9个月共申请贷款632.56亿元，实际获得贷款433.57亿元，贷款满足率为68.5%。,-0.0084745762711864,1.0,1
46458,2022,2,S5,第五部分货币政策趋势,535,密切关注重点领域风险，提高风险识别的前瞻性、及时性和有效性， 继续按照“稳定大局、统筹协调、分类施策、精准拆弹”的方针，抓好防范化解金融风险工作，压降存量风险、严控增量风险。,0.1428571428571428,1.0,0
20358,2011,4,S4,第四部分宏观经济分析,478,截至2011年9月末，外债余额为6971.6亿美元，同比增长27.6％。,0.0588235294117647,1.0,0
23003,2013,1,S3,第三部分金融市场分析,282,（一）允许合格境外机构投资者投资银行间债券市场为拓宽合格境外机构投资者（QFII）的投资渠道，规范其投资行为，2013年3月，中国人民银行发布了《关于合格境外机构投资者投资银行间债券市场有关事项的通知》，允许获得证监会核发资格及外汇局核批投资额度的 QFII 向中国人民银行申请进入银行间债券市场。,0.027027027027027,1.0,0
20418,2011,4,S5,第五部分货币政策趋势,538,国际经济复苏总体疲弱，欧债问题尚未得到解决，前景仍不明朗，金融市场波动较大，资本流动方向多变，不稳定、不确定因素较多，并可能通过贸易、 资本流动以及预期等渠道影响中国。,-0.0306122448979591,1.0,1
6424,2005,3,S4,第四部分宏观经济分析,440,2．水的生产与供应业我国是一个干旱缺水的国家，水资源的自然条件较差，与此同时， 粗放型的经济增长方式和水资源的价格体制扭曲也在一定程度上造成了水资源的浪费，水资源不足已经成为制约我国国民经济和社会发展的重要因素。,-0.0655737704918032,1.0,1
11709,2008,1,S3,第三部分金融市场分析,132,3个月以上的Shibor基本保持稳定。,0.1111111111111111,1.0,0
29668,2015,4,S2,第二部分货币政策操作,111,2015年以来，中国经济下行压力有所加大，价格涨幅保持低位， 来自外部的不确定性冲击也明显增多。,-0.0769230769230769,1.0,1
50903,2024,2,S3,第三部分金融市场运行,346,（四）股票市场成交量和筹资额有所减少沪深指数均有所下跌。,-0.0625,1.0,1
42159,2020,4,S2,第二部分货币政策操作,177,气候变化带来的自然灾害频发，也会对多个领域造成冲击。,-0.0714285714285714,1.0,1
22763,2013,1,S1,第一部分货币信贷概况,42,非金融企业人民币存款余额为34.3万亿元， 同比增长14.5%，增速比上年末高6.6个百分点，比年初增加1.6万亿元，同比多增1.7万亿元。,0.0606060606060606,1.0,0
4561,2004,3,S4,第四部分宏观经济分析,327,受能源价格上涨的直接影响和食品价格上涨向非食品价格扩散的间接影响，9月份，非食品价格上涨已达1.3%，为近年来最高。,-0.032258064516129,1.0,1
14676,2009,3,S5,第五部分货币政策趋势,422,地方加快发展和扩大投资的热情较高，财政和金融对经济发展的支持力度较大，投资有望继续保持较快增长。,0.2333333333333333,1.0,0
6467,2005,3,S5,第五部分货币政策趋势,483,大力培育和发展机构投资者，调动市场主体的积极性和创造性，鼓励金融产品与金融工具创新，发展金融衍生产品，满足市场多样化需求。,0.2580645161290322,1.0,0
