event_date,event_date_raw,D_policy,S_policy,S_policy_available,interbank_date_used,D_RRR,D_RateAdj,D_SLF
1999-11-18,1999-11-18,1,0.0,0,2004-05-24,1,0,0
2003-08-23,2003-08-23,1,0.0,0,2004-05-24,1,0,0
2004-04-12,2004-04-12,1,0.0,0,2004-05-24,1,0,0
2005-03-16,2005-03-16,1,0.03299999999999992,1,2005-03-16,0,1,0
2005-05-19,2005-05-19,1,-0.15389999999999993,1,2005-05-19,0,1,0
2005-07-21,2005-07-21,1,0.3004,1,2005-07-21,0,1,0
2005-08-22,2005-08-22,1,-0.18840000000000012,1,2005-08-22,0,1,0
2005-10-14,2005-10-14,1,-0.22809999999999997,1,2005-10-14,0,1,0
2005-12-27,2005-12-27,1,0.19009999999999994,1,2005-12-27,0,1,0
2006-04-27,2006-04-27,1,0.2370000000000001,1,2006-04-27,0,1,0
2006-06-16,2006-06-16,1,0.23130000000000006,1,2006-06-16,1,0,0
2006-07-21,2006-07-21,1,0.09050000000000002,1,2006-07-21,1,0,0
2006-08-18,2006-08-18,1,-0.015699999999999825,1,2006-08-18,0,1,0
2006-11-03,2006-11-03,1,-0.0015000000000000568,1,2006-11-03,1,0,0
2007-01-05,2007-01-05,1,-0.22289999999999988,1,2007-01-05,1,0,0
2007-02-16,2007-02-16,1,-1.6999000000000002,1,2007-02-16,1,0,0
2007-03-17,2007-03-17,1,-0.08909999999999996,1,2007-03-19,0,1,0
2007-04-05,2007-04-05,1,0.4148999999999998,1,2007-04-05,1,0,0
2007-04-29,2007-04-29,1,-0.16290000000000004,1,2007-04-29,1,0,0
2007-05-18,2007-05-18,1,-0.37819999999999965,1,2007-05-18,1,1,0
2007-07-20,2007-07-20,1,0.3984000000000001,1,2007-07-20,0,1,0
2007-07-30,2007-07-30,1,0.5394000000000001,1,2007-07-30,1,0,0
2007-08-21,2007-08-21,1,0.35840000000000005,1,2007-08-21,0,1,0
2007-09-06,2007-09-06,1,0.09520000000000017,1,2007-09-06,1,0,0
2007-09-14,2007-09-14,1,1.6280999999999999,1,2007-09-14,0,1,0
2007-10-13,2007-10-13,1,-0.010299999999999976,1,2007-10-15,1,0,0
2007-11-10,2007-11-10,1,-0.42689999999999984,1,2007-11-12,1,0,0
2007-12-08,2007-12-08,1,0.7645999999999997,1,2007-12-10,1,0,0
2007-12-20,2007-12-20,1,-1.2233,1,2007-12-20,0,1,0
2008-01-16,2008-01-16,1,0.5632999999999999,1,2008-01-16,1,0,0
2008-03-18,2008-03-18,1,-0.03670000000000018,1,2008-03-18,1,0,0
2008-04-16,2008-04-16,1,0.19600000000000017,1,2008-04-16,1,0,0
2008-05-12,2008-05-12,1,0.39239999999999986,1,2008-05-12,1,0,0
2008-06-07,2008-06-07,1,0.7881999999999998,1,2008-06-10,1,0,0
2008-09-15,2008-09-15,1,0.08789999999999987,1,2008-09-16,1,1,0
2008-10-08,2008-10-08,1,-0.3873000000000002,1,2008-10-08,1,1,0
2008-10-29,2008-10-29,1,0.033199999999999896,1,2008-10-29,0,1,0
2008-11-26,2008-11-26,1,-0.6557000000000002,1,2008-11-26,1,1,0
2008-12-22,2008-12-22,1,-0.06690000000000018,1,2008-12-22,1,1,0
2010-01-12,2010-01-12,1,0.010000000000000009,1,2010-01-12,1,0,0
2010-02-12,2010-02-12,1,-0.4483999999999999,1,2010-02-12,1,0,0
