year,quarter,report_date,period
2001,1,2001-05-14,2001Q1
2001,2,2001-07-16,2001Q2
2001,3,2001-10-29,2001Q3
2001,4,2002-03-06,2001Q4
2002,1,2002-05-20,2002Q1
2002,2,2002-08-02,2002Q2
2002,3,2002-10-24,2002Q3
2002,4,2003-02-20,2002Q4
2003,1,2003-05-14,2003Q1
2003,2,2003-08-05,2003Q2
2003,3,2003-10-27,2003Q3
2003,4,2004-02-26,2003Q4
2004,1,2004-05-11,2004Q1
2004,2,2004-08-09,2004Q2
2004,3,2004-11-16,2004Q3
2004,4,2005-02-28,2004Q4
2005,1,2005-05-26,2005Q1
2005,2,2005-08-04,2005Q2
2005,3,2005-11-09,2005Q3
2005,4,2006-02-21,2005Q4
2006,1,2006-05-31,2006Q1
2006,2,2006-08-10,2006Q2
2006,3,2006-11-14,2006Q3
2006,4,2007-02-09,2006Q4
2007,1,2007-05-10,2007Q1
2007,2,2007-08-08,2007Q2
2007,3,2007-11-08,2007Q3
2007,4,2008-02-22,2007Q4
2008,1,2008-05-14,2008Q1
2008,2,2008-08-15,2008Q2
2008,3,2008-11-17,2008Q3
2008,4,2009-02-23,2008Q4
2009,1,2009-05-06,2009Q1
2009,2,2009-08-05,2009Q2
2009,3,2009-11-11,2009Q3
2009,4,2010-02-11,2009Q4
2010,1,2010-05-10,2010Q1
2010,2,2010-08-05,2010Q2
2010,3,2010-11-02,2010Q3
2010,4,2011-01-30,2010Q4
2011,1,2011-05-03,2011Q1
2011,2,2011-08-12,2011Q2
2011,3,2011-11-16,2011Q3
2011,4,2012-02-15,2011Q4
2012,1,2012-05-10,2012Q1
2012,2,2012-08-02,2012Q2
2012,3,2012-11-02,2012Q3
2012,4,2013-02-06,2012Q4
2013,1,2013-05-09,2013Q1
2013,2,2013-08-02,2013Q2
2013,3,2013-11-05,2013Q3
2013,4,2014-02-08,2013Q4
2014,1,2014-05-06,2014Q1
2014,2,2014-08-01,2014Q2
2014,3,2014-11-06,2014Q3
2014,4,2015-02-10,2014Q4
2015,1,2015-05-08,2015Q1
2015,2,2015-08-07,2015Q2
2015,3,2015-11-06,2015Q3
2015,4,2016-02-06,2015Q4
2016,1,2016-05-06,2016Q1
2016,2,2016-08-05,2016Q2
2016,3,2016-11-08,2016Q3
2016,4,2017-02-17,2016Q4
2017,1,2017-05-12,2017Q1
2017,2,2017-08-11,2017Q2
2017,3,2017-11-17,2017Q3
2017,4,2018-02-14,2017Q4
2018,1,2018-05-11,2018Q1
2018,2,2018-08-10,2018Q2
2018,3,2018-11-09,2018Q3
2018,4,2019-02-21,2018Q4
2019,1,2019-05-17,2019Q1
2019,2,2019-08-09,2019Q2
2019,3,2019-11-16,2019Q3
2019,4,2020-02-19,2019Q4
2020,1,2020-05-10,2020Q1
2020,2,2020-08-06,2020Q2
2020,3,2020-11-26,2020Q3
2020,4,2021-02-08,2020Q4
2021,1,2021-05-11,2021Q1
2021,2,2021-08-09,2021Q2
2021,3,2021-11-19,2021Q3
2021,4,2022-02-11,2021Q4
2022,1,2022-05-09,2022Q1
2022,2,2022-08-10,2022Q2
2022,3,2022-11-16,2022Q3
2022,4,2023-02-24,2022Q4
2023,1,2023-05-15,2023Q1
2023,2,2023-08-17,2023Q2
2023,3,2023-11-27,2023Q3
2023,4,2024-02-08,2023Q4
2024,1,2024-05-10,2024Q1
2024,2,2024-08-09,2024Q2
2024,3,2024-11-08,2024Q3
2024,4,2025-02-13,2024Q4
2025,1,2025-05-09,2025Q1
2025,2,2025-08-15,2025Q2
2025,3,2025-11-11,2025Q3
