year,quarter,n_sentences,topn_target,tone_all,tone_p90_all,tone_policy,tone_p90_policy,tone_macro,tone_p90_macro,tone_all_z,tone_p90_all_z,tone_policy_z,tone_p90_policy_z,tone_macro_z,tone_p90_macro_z,similarity_prev,surprise_prev,avg_sent_len,avg_sent_len_rows,prev_quarter_available
2001,1,319,38,0.994934,0.998892,0.192263,0.940041,0.137555,0.980249,0.40908,0.471945,-0.224197,0.089009,0.170367,0.779603,,,20.481622306717362,50.658307210031346,0
2001,2,282,34,0.989476,0.998404,0.239628,0.974251,0.059122,0.016291,0.320721,-1.245419,0.478609,0.272766,-0.890741,-1.647851,0.24160913635319586,0.7583908636468042,21.055619930475086,64.43617021276596,1
2001,3,329,39,0.996142,0.998642,0.27927,0.985662,0.29445,0.992691,0.428638,-0.406217,1.066814,0.334063,2.292967,0.810935,0.2710239692693075,0.7289760307306925,19.993650793650794,57.42857142857143,1
2001,4,272,33,0.982618,0.99829,0.111984,0.684543,0.174923,0.959638,0.209691,-1.644576,-1.41539,-1.283381,0.675916,0.727701,0.1370629802529492,0.8629370197470508,21.533045977011493,55.099264705882355,1
2002,1,240,30,0.994084,0.998816,0.304678,0.998464,0.028445,0.61502,0.395316,0.205757,1.443818,0.402824,-1.305765,-0.140123,0.13970663170560643,0.8602933682943936,18.78921568627451,47.9125,1
2002,2,241,30,0.995453,0.998941,0.332547,0.998318,0.004249,0.000944,0.417477,0.645557,1.857353,0.40204,-1.633101,-1.6865,0.26675051677648715,0.7332494832235128,17.380681818181817,50.77178423236514,1
2002,3,283,34,0.979211,0.998539,0.157284,0.944795,0.059402,0.015455,0.154529,-0.768826,-0.743223,0.114545,-0.886955,-1.649957,0.23924269489640132,0.7607573051035987,20.917737789203084,57.50530035335689,1
2002,4,370,44,0.995699,0.998955,0.103464,0.447442,0.168159,0.991055,0.421463,0.69462,-1.541802,-2.556956,0.584406,0.806815,0.159516247393569,0.840483752606431,21.180041152263374,55.64054054054054,1
2003,1,346,42,0.976182,0.998236,0.178517,0.987035,0.092928,0.562229,0.105496,-1.834558,-0.428159,0.341437,-0.43338,-0.273062,0.19328889177490233,0.8067111082250977,20.140860215053763,54.13583815028902,1
2003,2,341,41,0.996432,0.998657,0.29299,0.998146,0.396965,0.997457,0.433332,-0.355079,1.270403,0.401116,3.679876,0.822936,0.443991820299605,0.5560081797003951,19.786988457502623,55.2991202346041,1
2003,3,404,48,0.993874,0.998468,0.268837,0.987886,0.101409,0.314457,0.391923,-1.020378,0.91201,0.346008,-0.31865,-0.897005,0.32158958018772443,0.6784104198122756,19.2842287694974,55.084158415841586,1
2003,4,369,44,0.984036,0.998034,0.251941,0.986868,0.147998,0.948556,0.232652,-2.546258,0.661312,0.340538,0.311651,0.699792,0.31861890203991694,0.6813810979600831,20.607244995233557,58.582655826558266,1
2004,1,438,53,0.994541,0.99838,0.212971,0.95561,0.290304,0.993556,0.402707,-1.328163,0.083072,0.172637,2.236874,0.813114,0.2583528973411782,0.7416471026588218,20.911338448422846,56.00228310502283,1
2004,2,455,55,0.976494,0.998121,0.183129,0.967165,0.186806,0.741966,0.110539,-2.241209,-0.359731,0.234703,0.836669,0.179555,0.217299398760567,0.782700601239433,19.898538961038962,53.879120879120876,1
2004,3,431,52,0.993165,0.998931,0.277467,0.998095,0.163241,0.948315,0.380433,0.610058,1.040065,0.400845,0.517873,0.699187,0.32382462240761534,0.6761753775923847,19.670802315963606,55.17865429234339,1
2004,4,479,57,0.984435,0.998515,0.101435,0.328301,0.054112,0.163979,0.239097,-0.855228,-1.571916,-3.196911,-0.958517,-1.27594,0.2710736369899497,0.7289263630100503,22.07807807807808,61.39457202505219,1
2005,1,385,46,0.980372,0.998419,0.163867,0.906235,0.170161,0.977555,0.173321,-1.192702,-0.645536,-0.092577,0.611482,0.77282,0.1686827235651605,0.8313172764348395,19.293072824156305,56.42597402597403,1
2005,2,469,56,0.972919,0.998053,0.072892,0.036699,0.258651,0.989826,0.052669,-2.478348,-1.995436,-4.763232,1.808644,0.803721,0.232294568673178,0.767705431326822,19.77348484848485,55.652452025586356,1
2005,3,496,60,0.98695,0.998348,0.109319,0.300193,0.092254,0.986963,0.279819,-1.439724,-1.454924,-3.347891,-0.442502,0.79651,0.2417050115566335,0.7582949884433665,19.768342391304348,58.667338709677416,1
2005,4,587,70,0.992186,0.998308,0.171583,0.990527,0.184936,0.985524,0.36459,-1.582296,-0.531054,0.360193,0.811371,0.792888,0.1812900139137032,0.8187099860862967,19.52892561983471,56.357751277683136,1
2006,1,499,60,0.991011,0.998412,0.220841,0.997143,0.21844,0.985107,0.345571,-1.21477,0.199838,0.395729,1.264642,0.791836,0.11379137621201205,0.8862086237879879,20.75867269984917,55.1623246492986,1
2006,2,473,57,0.983174,0.998437,0.16756,0.946878,0.133666,0.979365,0.218695,-1.129596,-0.590736,0.125733,0.117755,0.777377,0.1823655689255039,0.8176344310744961,20.390738060781477,59.577167019027485,1
2006,3,420,50,0.868247,0.997913,0.158231,0.694785,0.160463,0.906759,-1.641915,-2.97146,-0.729167,-1.228366,0.480288,0.594541,0.2239338832357446,0.7760661167642554,19.124713083397094,59.51428571428571,1
2006,4,454,54,0.742416,0.998158,0.186499,0.951703,0.058609,0.003302,-3.679038,-2.109117,-0.309729,0.151651,-0.897679,-1.68056,0.2399174399065545,0.7600825600934455,20.703007518796994,60.64977973568282,1
2007,1,509,61,0.926935,0.99828,0.180097,0.993185,0.07981,0.297445,-0.691782,-1.678946,-0.404716,0.374471,-0.61085,-0.939844,0.20837661525037632,0.7916233847496237,19.64603616133519,55.50294695481336,1
2007,2,564,68,0.994972,0.99885,0.273959,0.997066,0.138709,0.795088,0.409696,0.324147,0.988015,0.395316,0.185978,0.313329,0.22809721213644946,0.7719027878635505,19.63360707517372,55.1063829787234,1
