year,quarter,topic,total_sentences_quarter,n_target,n_selected,coverage_selected,tau_used,avg_weight_selected,avg_top_score_selected,avg_gap_selected,note,n_top1,n_conf_ge_0_50,n_eligible
2001,1,all,319,38,64,0.200627,,,,,tone_all: topK=64 trim=0.1,,,
2001,1,macro,319,38,38,0.119122,0.5,0.436829,0.98164,0.135949,,69.0,69.0,69.0
2001,1,policy,319,38,38,0.119122,0.5,0.996826,0.996866,0.313595,,250.0,249.0,249.0
2001,2,all,282,34,56,0.198582,,,,,tone_all: topK=56 trim=0.1,,,
2001,2,macro,282,34,34,0.120567,0.5,0.851673,0.957763,0.33745,,86.0,86.0,86.0
2001,2,policy,282,34,34,0.120567,0.5,0.991512,0.991609,0.26274,,196.0,195.0,194.0
2001,3,all,329,39,66,0.200608,,,,,tone_all: topK=66 trim=0.1,,,
2001,3,macro,329,39,39,0.118541,0.5,0.725435,0.914435,0.288655,,113.0,109.0,109.0
2001,3,policy,329,39,39,0.118541,0.5,0.993918,0.994659,0.303778,,216.0,212.0,212.0
2001,4,all,272,33,54,0.198529,,,,,tone_all: topK=54 trim=0.1,,,
2001,4,macro,272,33,33,0.121324,0.5,0.489944,0.980612,0.142209,,61.0,58.0,58.0
2001,4,policy,272,33,33,0.121324,0.5,0.997413,0.997413,0.3897,,211.0,208.0,208.0
2002,1,all,240,30,50,0.208333,,,,,tone_all: topK=50 trim=0.1,,,
2002,1,macro,240,30,30,0.125,0.5,0.451158,0.964209,0.221286,,45.0,45.0,45.0
2002,1,policy,240,30,30,0.125,0.5,0.995839,0.995847,0.349479,,195.0,191.0,191.0
2002,2,all,241,30,50,0.207469,,,,,tone_all: topK=50 trim=0.1,,,
2002,2,macro,241,30,30,0.124481,0.5,0.72455,0.961528,0.232178,,60.0,59.0,59.0
2002,2,policy,241,30,30,0.124481,0.5,0.991479,0.991479,0.337339,,181.0,181.0,181.0
2002,3,all,283,34,57,0.201413,,,,,tone_all: topK=57 trim=0.1,,,
2002,3,macro,283,34,34,0.120141,0.5,0.564953,0.968792,0.226468,,56.0,54.0,54.0
2002,3,policy,283,34,34,0.120141,0.5,0.997416,0.997416,0.436515,,227.0,225.0,225.0
2002,4,all,370,44,74,0.2,,,,,tone_all: topK=74 trim=0.1,,,
2002,4,macro,370,44,44,0.118919,0.5,0.481314,0.976184,0.170808,,82.0,81.0,81.0
2002,4,policy,370,44,44,0.118919,0.5,0.998144,0.998144,0.34568,,288.0,283.0,283.0
2003,1,all,346,42,69,0.199422,,,,,tone_all: topK=69 trim=0.1,,,
2003,1,macro,346,42,42,0.121387,0.5,0.738512,0.961721,0.289197,,95.0,95.0,95.0
2003,1,policy,346,42,42,0.121387,0.5,0.997728,0.997728,0.418097,,251.0,249.0,249.0
2003,2,all,341,41,68,0.199413,,,,,tone_all: topK=68 trim=0.1,,,
2003,2,macro,341,41,41,0.120235,0.5,0.791727,0.920002,0.329002,,90.0,87.0,87.0
2003,2,policy,341,41,41,0.120235,0.5,0.997627,0.997627,0.313371,,251.0,246.0,246.0
2003,3,all,404,48,81,0.200495,,,,,tone_all: topK=81 trim=0.1,,,
