指标名称,中间价:美元兑人民币,SHIBOR:1周,中国:银行间同业拆借加权利率:7天,中国:7天回购利率:加权平均:最近1周(B1W),中国:固定利率国债:发行利率:10年,中国:公开市场操作:货币净投放,中国:人民币存款准备金率(变动公告日期):大型存款类金融机构,中国:人民币存款准备金率:大型存款类金融机构:变动日期,中国:逆回购数量:7天,中国:正回购数量:14天
单位,,%,%,%,%,亿元,%,%,亿元,亿元
1985/1/1,,,,,,,,10,,
1987/1/1,,,,,,,,12,,
1988/1/1,,,,,,,,13,,
1994/1/1,8.7,,,,,,,,,
1994/1/3,8.7,,,,,,,,,
1994/1/4,8.7,,,,,,,,,
1994/1/5,8.7,,,,,,,,,
1994/1/6,8.7,,,,,,,,,
1994/1/7,8.69,,,,,,,,,
1994/1/8,8.7,,,,,,,,,
1994/1/10,8.7,,,,,,,,,
1994/1/11,8.7,,,,,,,,,
1994/1/12,8.7,,,,,,,,,
1994/1/13,8.7,,,,,,,,,
1994/1/14,8.7,,,,,,,,,
1994/1/15,8.7,,,,,,,,,
1994/1/17,8.7,,,,,,,,,
1994/1/18,8.7,,,,,,,,,
1994/1/19,8.7,,,,,,,,,
1994/1/20,8.7,,,,,,,,,
1994/1/21,8.7,,,,,,,,,
1994/1/22,8.7,,,,,,,,,
1994/1/24,8.7,,,,,,,,,
1994/1/25,8.71,,,,,,,,,
1994/1/26,8.7,,,,,,,,,
1994/1/27,8.7,,,,,,,,,
1994/1/28,8.7,,,,,,,,,
1994/1/29,8.7,,,,,,,,,
1994/1/31,8.7,,,,,,,,,
1994/2/1,8.6994,,,,,,,,,
1994/2/2,8.701,,,,,,,,,
1994/2/3,8.7034,,,,,,,,,
1994/2/4,8.701,,,,,,,,,
1994/2/5,8.7005,,,,,,,,,
1994/2/7,8.7005,,,,,,,,,
1994/2/8,8.7074,,,,,,,,,
1994/2/9,8.7074,,,,,,,,,
1994/2/15,8.7074,,,,,,,,,
1994/2/16,8.7024,,,,,,,,,
1994/2/17,8.7065,,,,,,,,,
1994/2/18,8.702,,,,,,,,,
1994/2/19,8.6988,,,,,,,,,
1994/2/21,8.6988,,,,,,,,,
1994/2/22,8.6995,,,,,,,,,
1994/2/23,8.6966,,,,,,,,,
1994/2/24,8.7022,,,,,,,,,
1994/2/25,8.6947,,,,,,,,,
1994/2/26,8.7044,,,,,,,,,
1994/2/28,8.7044,,,,,,,,,
1994/3/1,8.702,,,,,,,,,
1994/3/2,8.705,,,,,,,,,
1994/3/3,8.706,,,,,,,,,
1994/3/4,8.7062,,,,,,,,,
1994/3/5,8.7066,,,,,,,,,
1994/3/7,8.7066,,,,,,,,,
1994/3/8,8.705,,,,,,,,,
1994/3/9,8.7038,,,,,,,,,
1994/3/10,8.7003,,,,,,,,,
1994/3/11,8.7038,,,,,,,,,
1994/3/12,8.7005,,,,,,,,,
1994/3/14,8.7005,,,,,,,,,
1994/3/15,8.7,,,,,,,,,
1994/3/16,8.7007,,,,,,,,,
1994/3/17,8.7002,,,,,,,,,
1994/3/18,8.6991,,,,,,,,,
1994/3/19,8.6992,,,,,,,,,
1994/3/21,8.6992,,,,,,,,,
1994/3/22,8.6978,,,,,,,,,
1994/3/23,8.6993,,,,,,,,,
1994/3/24,8.7055,,,,,,,,,
1994/3/25,8.7012,,,,,,,,,
1994/3/26,8.7016,,,,,,,,,
1994/3/28,8.7016,,,,,,,,,
1994/3/29,8.7024,,,,,,,,,
1994/3/30,8.7002,,,,,,,,,
1994/3/31,8.708,,,,,,,,,
1994/4/1,8.6987,,,,,,,,,
1994/4/4,8.6988,,,,,,,,,
1994/4/5,8.6967,,,,,,,,,
1994/4/6,8.6999,,,,,,,,,
1994/4/7,8.6982,,,,,,,,,
1994/4/8,8.6999,,,,,,,,,
1994/4/11,8.7001,,,,,,,,,
1994/4/12,8.6991,,,,,,,,,
1994/4/13,8.6992,,,,,,,,,
1994/4/14,8.6982,,,,,,,,,
1994/4/15,8.6971,,,,,,,,,
1994/4/18,8.6961,,,,,,,,,
1994/4/19,8.6952,,,,,,,,,
1994/4/20,8.6945,,,,,,,,,
1994/4/21,8.6937,,,,,,,,,
1994/4/22,8.6925,,,,,,,,,
1994/4/25,8.6925,,,,,,,,,
1994/4/26,8.6909,,,,,,,,,
1994/4/27,8.6894,,,,,,,,,
1994/4/28,8.6877,,,,,,,,,
1994/4/29,8.6872,,,,,,,,,
1994/5/3,8.6847,,,,,,,,,
1994/5/4,8.6784,,,,,,,,,
1994/5/5,8.6736,,,,,,,,,
1994/5/6,8.6682,,,,,,,,,
1994/5/9,8.6664,,,,,,,,,
1994/5/10,8.6653,,,,,,,,,
1994/5/11,8.664,,,,,,,,,
1994/5/12,8.6629,,,,,,,,,
1994/5/13,8.662,,,,,,,,,
1994/5/16,8.661,,,,,,,,,
1994/5/17,8.6606,,,,,,,,,
1994/5/18,8.6607,,,,,,,,,
1994/5/19,8.6605,,,,,,,,,
1994/5/20,8.6604,,,,,,,,,
1994/5/23,8.6602,,,,,,,,,
1994/5/24,8.6604,,,,,,,,,
1994/5/25,8.6602,,,,,,,,,
1994/5/26,8.6602,,,,,,,,,
1994/5/27,8.66,,,,,,,,,
1994/5/30,8.6598,,,,,,,,,
1994/5/31,8.6597,,,,,,,,,
1994/6/1,8.6596,,,,,,,,,
1994/6/2,8.6594,,,,,,,,,
1994/6/3,8.6591,,,,,,,,,
1994/6/6,8.6591,,,,,,,,,
1994/6/7,8.659,,,,,,,,,
1994/6/8,8.659,,,,,,,,,
1994/6/9,8.6588,,,,,,,,,
1994/6/10,8.6585,,,,,,,,,
1994/6/13,8.6583,,,,,,,,,
1994/6/14,8.6581,,,,,,,,,
1994/6/15,8.6579,,,,,,,,,
1994/6/16,8.6575,,,,,,,,,
1994/6/17,8.6573,,,,,,,,,
1994/7/1,8.6517,,,,,,,,,
1994/7/4,8.651,,,,,,,,,
1994/7/5,8.65,,,,,,,,,
1994/7/6,8.6496,,,,,,,,,
1994/7/7,8.649,,,,,,,,,
1994/7/8,8.6481,,,,,,,,,
1994/7/11,8.6474,,,,,,,,,
1994/7/12,8.6466,,,,,,,,,
1994/7/13,8.6458,,,,,,,,,
1994/7/14,8.6447,,,,,,,,,
1994/7/15,8.6437,,,,,,,,,
1994/7/18,8.6429,,,,,,,,,
1994/7/19,8.6418,,,,,,,,,
1994/7/20,8.6408,,,,,,,,,
1994/7/21,8.6389,,,,,,,,,
1994/7/22,8.6364,,,,,,,,,
1994/7/25,8.6335,,,,,,,,,
1994/7/26,8.6295,,,,,,,,,
1994/7/27,8.6264,,,,,,,,,
1994/7/28,8.6238,,,,,,,,,
1994/7/29,8.6214,,,,,,,,,
1994/8/1,8.6197,,,,,,,,,
1994/8/2,8.6169,,,,,,,,,
1994/8/3,8.6141,,,,,,,,,
1994/8/4,8.6114,,,,,,,,,
1994/8/5,8.6088,,,,,,,,,
1994/8/8,8.6055,,,,,,,,,
1994/8/9,8.6023,,,,,,,,,
1994/8/10,8.6003,,,,,,,,,
1994/8/11,8.5982,,,,,,,,,
1994/8/12,8.5962,,,,,,,,,
1994/8/15,8.5938,,,,,,,,,
1994/8/16,8.5912,,,,,,,,,
1994/8/17,8.5887,,,,,,,,,
1994/8/18,8.5856,,,,,,,,,
1994/8/19,8.5831,,,,,,,,,
1994/8/22,8.5801,,,,,,,,,
1994/8/23,8.5774,,,,,,,,,
1994/8/24,8.5758,,,,,,,,,
1994/8/25,8.5735,,,,,,,,,
1994/8/26,8.5708,,,,,,,,,
1994/8/29,8.5675,,,,,,,,,
1994/8/30,8.5643,,,,,,,,,
1994/8/31,8.5616,,,,,,,,,
1994/9/1,8.5591,,,,,,,,,
1994/9/2,8.5565,,,,,,,,,
1994/9/5,8.554,,,,,,,,,
1994/9/6,8.5511,,,,,,,,,
1994/9/7,8.5491,,,,,,,,,
1994/9/8,8.547,,,,,,,,,
1994/9/9,8.5448,,,,,,,,,
1994/9/10,8.5422,,,,,,,,,
1994/9/13,8.5407,,,,,,,,,
1994/9/14,8.5396,,,,,,,,,
1994/9/15,8.5381,,,,,,,,,
1994/9/16,8.5365,,,,,,,,,
1994/9/17,8.5352,,,,,,,,,
1994/9/20,8.534,,,,,,,,,
1994/9/21,8.5337,,,,,,,,,
