year,quarter,tone_all,tone_real,tone_guid,tone_macro,tone_policy,tone_risk,tone_p90_macro,tone_p90_policy,tone_p90_risk,tone_std_macro,tone_std_policy,tone_std_risk,n_macro,n_policy,n_risk,tone_all_z,tone_real_z,tone_guid_z,tone_policy_z,tone_macro_z,tone_risk_z,tone_p90_policy_z,tone_p90_macro_z,tone_p90_risk_z,tone_std_policy_z,tone_std_macro_z,tone_std_risk_z,tone_all_z_exp,tone_all_z_exp_avail,tone_real_z_exp,tone_real_z_exp_avail,tone_guid_z_exp,tone_guid_z_exp_avail,tone_policy_z_exp,tone_policy_z_exp_avail,tone_macro_z_exp,tone_macro_z_exp_avail,tone_risk_z_exp,tone_risk_z_exp_avail,report_date
2001,1,0.5457648822445426,0.5436397300236485,0.5662371819724892,0.5338747116098006,0.6126221369887367,0.001009821891784668,0.9999331108032493,0.9999349105382862,0.00280113220214846,0.48692881893416046,0.4823022420321673,0.0019834345025847595,232,82,5,-0.888145426578716,-0.7259532660596135,-1.1649927587153395,-0.6147389723833644,-0.6254370105039746,-0.9146272507876744,-0.1056352310177174,0.017365290734491293,-1.1388276863085658,0.9917524375040384,0.7543062353627616,-1.5273700823601275,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2001-05-14
2001,2,0.543199800374407,0.5173376960461673,0.6549436096417062,0.594109251189485,0.4780593102757809,0.0001391470432281309,0.9999363662020186,0.9999162242369494,0.00019660592079162598,0.4798724515223572,0.4941248012003362,5.483209746986211e-05,183,93,6,-0.9370942909592166,-1.2081249985897444,-0.11460592458884691,-2.5022914070631126,0.3181528981450772,-0.9187757814293928,-1.5384478583102508,0.5651859888365411,-1.1447224354121104,1.4757838273199222,0.13439208756100976,-1.536790758830208,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2001-07-16
2001,3,0.4491973995103995,0.4474835185484996,0.4676216198508233,0.4526757566945453,0.4423281795367362,0.3333545401643884,0.9999239643206238,0.9998693299348816,0.7998869120958262,0.4904419381236632,0.48635865619932955,0.5771813499672056,250,76,3,-2.730920376943176,-2.488699338101081,-2.3327152204837676,-3.003502510217285,-1.897440000574571,0.6689056256390757,-5.134170036795021,-1.5218109675755358,0.6651935363256556,1.1578274606078967,1.0629398653015452,1.2823088091966721,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2001-10-29
2001,4,0.5794122943092428,0.5844622483481279,0.5626592721802433,0.5230077492401175,0.6552154101994954,0.00012469291687000617,0.9999316627508961,0.9999347108467191,0.00012469291687000617,0.4911359020556866,0.46190671917667026,,151,120,1,-0.24605964012279824,0.02240955651180663,-1.207359354217094,-0.017270574060794176,-0.7956708348388809,-0.9188446514400465,-0.12094701443005379,-0.2263139348393561,-1.1448851940367535,0.15673244451068655,1.1239058034988423,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2002-03-06
2002,1,0.5879687235818892,0.570388489606075,0.6419013057788785,0.5392351251806996,0.6675185344676533,0.12509821639469007,0.9999281760799932,0.9999383406873676,0.30009096946741903,0.4967013280194873,0.46136045172497575,0.3533700343970866,115,117,8,-0.08277927822699042,-0.23559211140773859,-0.269041906559354,0.15530897657592796,-0.5414647217311112,-0.32337954479227843,0.15737887909382514,-0.8130532633867211,-0.4659801845358447,0.13436752418389533,1.612838152419941,0.1890539274557115,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2002-05-20
2002,2,0.5606208591303298,0.5639590406595132,0.5448042371230085,0.48726383317738536,0.6659022253560214,0.20021089148649476,0.9999107296665898,0.999940160621918,0.6002742955723079,0.4958488568313418,0.4685723317914742,0.44705461399236607,129,107,5,-0.6046522537920677,-0.3534574651074536,-1.4187836471321678,0.13263653223612626,-1.355608683251825,0.03451207768469079,0.29692630250567686,-3.74894746475737,0.2134160669521493,0.429631542922857,1.537947076136014,0.6466765625110013,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2002-08-02
2002,3,0.5870746575453939,0.5608948231659946,0.676658778312401,0.6068704787124659,0.6917415918396728,0.16549242885860924,0.9999378531902039,0.9999337351393478,0.716470608487725,0.47627440334597815,0.4611061692978703,0.34724475911009683,256,12,15,-0.09984053372809,-0.4096310317207413,0.14252682071332026,0.4950929424365411,0.5180608844380543,-0.13091202556570286,-0.1957614903930398,0.8154173624513625,0.47639982576317763,0.12395686141225165,-0.18170270156217433,0.159133692670215,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2002-10-24
2002,4,0.6112083443636653,0.5799096003791349,0.7666924273835908,0.5796536563977533,0.7032468983271905,0.4494480708774063,0.9999389252036053,0.9999275522102835,0.9998930263376679,0.4872233461770867,0.4288190990861212,0.49688058996618545,255,105,10,0.3606970330539776,-0.061050078613315455,1.2086294932884278,0.6564812678956689,0.09170220284336941,1.222059963641013,-0.6698509678814308,0.9958164998635104,1.1178615977192683,-1.1979189901168084,0.7801809658221766,0.8900623418766558,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2003-02-20
2003,1,0.6294814694376402,0.6619939309659529,0.4940937565063077,0.6519983131686294,0.8160859990249654,0.12104802196278654,0.9999386099225376,0.9999412981578644,0.43773835025494867,0.46541752365987626,0.376511296593448,0.3169221092066501,313,14,19,0.7093988548038759,1.4437287505262064,-2.0192544652180313,2.2393085943719457,1.2250002831478068,-0.34267762803601176,0.38414933495694414,0.9427607893829216,-0.15444684340179463,-3.339470407081702,-1.1354984615644235,0.011016136818221634,1.4389652599965141,1,2.5660563441303634,1,-1.246609388338726,1,2.026449421714782,1,2.1187741017972233,1,-0.2306765891002032,1,2003-05-14
2003,2,0.5116803196132399,0.4972235216366026,0.6204677243874357,0.5467856647080268,0.459126996841488,0.06857461783857573,0.9999327572135371,0.9999157018137339,0.004987955093383789,0.481070882133294,0.505189397830828,0.2297850562966169,298,22,21,-1.5385732562448764,-1.5768602200473893,-0.5228403323701906,-2.7678605481844554,-0.4231835336858939,-0.5926992351209723,-1.5785057898621835,-0.042137024247966025,-1.1338783132229526,1.9287832167607926,0.23967630074352345,-0.4146236849742949,-1.0408672405380452,1,-1.0764748901365817,1,0.2431458311108341,1,-1.5500514210453662,1,-0.0850820318967102,1,-0.5550902737664849,1,2003-08-05
2003,3,0.5868418184481925,0.5704822198180232,0.6721634174578447,0.6497323672541543,0.47983402171901673,0.10538282655092976,0.9999399532243842,0.9999102220099303,0.35852063894271735,0.4678977310727825,0.4985642674852587,0.3051446617437192,336,31,37,-0.10428374839662881,-0.23387383902149864,0.08929654213777906,-2.4773970065264805,1.189503644286398,-0.41731805584018533,-1.9986816151027142,1.1688125291341662,-0.3337380012930306,1.6575415166125553,-0.9176079273822708,-0.04651335806231312,0.5043652343048457,1,0.3091336279236144,1,0.8046505022591836,1,-1.1429951424774296,1,1.6739960957328395,1,-0.27471194717362135,1,2003-10-27
